Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707879791641, 512809, 5760, 4640, 2912
1707879791651, 512820, 5696, 4720, 2912
1707879791663, 512831, 5696, 4720, 3008
1707879791674, 512842, 5648, 4736, 3024
1707879791685, 512853, 5760, 4720, 2976
1707879791696, 512864, 5616, 4752, 3008
1707879791707, 512875, 5616, 4688, 2896
1707879791718, 512886, 5664, 4704, 3024
1707879791729, 512897, 5744, 4592, 2944
1707879791740, 512908, 5776, 4624, 3136
1707879791751, 512919, 5712, 4608, 3056
1707879791762, 512930, 5776, 4624, 3120
1707879791773, 512941, 5744, 4688, 3040
1707879791784, 512952, 5632, 4736, 3120
1707879791795, 512963, 5632, 4736, 3184
1707879791806, 512974, 5632, 4816, 2976
1707879791817, 512985, 5600, 4848, 2928
1707879791828, 512996, 5616, 4848, 2928
1707879791839, 513007, 5680, 4768, 2960
1707879791850, 513018, 5616, 4672, 2960
1707879791861, 513029, 5712, 4704, 2928
1707879791872, 513040, 5584, 4656, 3056
1707879791883, 513051, 5696, 4656, 2944
1707879791894, 513062, 5664, 4720, 2832
1707879791905, 513073, 5488, 4816, 3040
1707879791916, 513084, 5696, 4832, 3024
1707879791927, 513095, 5712, 4784, 2832
1707879791938, 513106, 5680, 4688, 2976
1707879791949, 513117, 5696, 4656, 3024
1707879791960, 513128, 5696, 4576, 2848
1707879791971, 513139, 5664, 4624, 3024
1707879791982, 513150, 5664, 4576, 3008
1707879791993, 513161, 5712, 4624, 3056
1707879792004, 513172, 5680, 4736, 2992
1707879792015, 513183, 5664, 4752, 3072
1707879792026, 513194, 5744, 4672, 3040
1707879792037, 513205, 5696, 4608, 3056
1707879792048, 513216, 5728, 4560, 2848
1707879792059, 513227, 5776, 4560, 2976
1707879792070, 513238, 5680, 4592, 3024
1707879792081, 513249, 5696, 4736, 3008
1707879792092, 513260, 5728, 4624, 2976
1707879792103, 513271, 5728, 4640, 2960
1707879792114, 513282, 5616, 4720, 2944
1707879792125, 513293, 5680, 4768, 2992
1707879792136, 513304, 5728, 4720, 3152
1707879792147, 513315, 5792, 4608, 3296
1707879792158, 513326, 5744, 4608, 3008
1707879792169, 513337, 5712, 4624, 2992
1707879792180, 513348, 5712, 4688, 2992
1707879792191, 513359, 5696, 4752, 2976
1707879792202, 513370, 5632, 4704, 2992
1707879792213, 513381, 5712, 4704, 2816
1707879792224, 513392, 5696, 4688, 2800
1707879792235, 513403, 5664, 4688, 2784
1707879792246, 513414, 5712, 4704, 2944
1707879792257, 513425, 5712, 4704, 2960
1707879792268, 513436, 5728, 4656, 2992
1707879792279, 513447, 5712, 4640, 3008
1707879792290, 513458, 5712, 4656, 2992
1707879792301, 513469, 5808, 4736, 3008
1707879792312, 513480, 5744, 4704, 2928
