Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707879573259, 294426, -272, 7248, 1328
1707879573270, 294437, -304, 7360, 1344
1707879573281, 294448, -368, 7472, 1232
1707879573292, 294459, -416, 7520, 1280
1707879573303, 294470, -368, 7456, 1232
1707879573314, 294481, -400, 7424, 1680
1707879573325, 294492, -336, 7360, 1744
1707879573336, 294503, -352, 7312, 1504
1707879573347, 294514, -384, 7424, 1248
1707879573358, 294525, -256, 7520, 1168
1707879573369, 294536, -304, 7600, 1248
1707879573380, 294547, -272, 7584, 1280
1707879573391, 294558, -304, 7568, 1296
1707879573402, 294569, -448, 7472, 1312
1707879573413, 294580, -288, 7520, 1328
1707879573424, 294591, -384, 7472, 1168
1707879573435, 294602, -496, 7536, 1168
1707879573446, 294613, -304, 7552, 1152
1707879573457, 294624, -304, 7376, 1280
1707879573468, 294635, -272, 7424, 1312
1707879573479, 294646, -320, 7408, 1408
1707879573490, 294657, -368, 7472, 1472
1707879573501, 294668, -384, 7456, 1248
1707879573512, 294679, -384, 7504, 1248
1707879573523, 294690, -368, 7632, 1376
1707879573534, 294701, -512, 7888, 1584
1707879573545, 294712, -496, 7920, 1632
1707879573556, 294723, -576, 8080, 1952
1707879573567, 294734, -592, 8000, 2176
1707879573578, 294745, -560, 7920, 1840
1707879573589, 294756, -496, 7696, 1664
1707879573600, 294767, -448, 7696, 1840
1707879573611, 294778, -224, 7424, 2528
1707879573622, 294789, 208, 5120, 3680
1707879573632, 294800, -1904, 6560, 3920
1707879573642, 294811, -2400, 7888, 3600
1707879573654, 294822, -2272, 7824, 4048
1707879573664, 294833, -1376, 8160, 5264
1707879573676, 294844, -1808, 9120, 4880
1707879573686, 294855, -1920, 8544, 3936
1707879573698, 294866, -1888, 8336, 4976
1707879573708, 294877, -1472, 8496, 6304
1707879573720, 294888, -1280, 8688, 6512
1707879573730, 294899, -1392, 9008, 6512
1707879573743, 294910, -832, 8800, 6224
1707879573754, 294921, -208, 7776, 4640
1707879573765, 294932, 656, 6704, 3376
1707879573776, 294943, 1600, 5840, 1520
1707879573787, 294954, 2288, 5712, 512
1707879573798, 294965, 3072, 5472, -496
1707879573808, 294976, 3200, 5200, -3120
1707879573818, 294987, 5136, 4880, -5968
1707879573830, 294998, 6432, 4640, -9760
1707879573840, 295009, 6704, 4704, -14592
1707879573852, 295020, 8832, 5312, -17904
1707879573862, 295031, 9872, 6128, -21232
1707879573874, 295042, 10352, 6464, -22896
1707879573884, 295053, 13200, 6512, -24160
1707879573896, 295064, 15120, 6464, -24752
1707879573906, 295075, 17488, 6656, -24016
1707879573918, 295086, 18928, 7904, -22256
1707879573928, 295097, 20240, 10960, -19168
1707879573940, 295108, 21136, 13216, -16720
1707879573952, 295119, 22592, 13920, -14000
1707879573962, 295130, 24624, 13168, -10464
1707879573972, 295141, 26160, 13024, -7904
1707879573984, 295152, 27296, 13504, -4928
1707879573996, 295163, 27488, 14336, -1328
1707879574006, 295174, 29056, 14192, 656
1707879574016, 295185, 30032, 13408, 2624
1707879574028, 295196, 30240, 11024, 3680
1707879574038, 295207, 31760, 9824, 4208
1707879574050, 295218, 32032, 9408, 6128
1707879574060, 295229, 32176, 9088, 6912
1707879574072, 295240, 32560, 8032, 7824
1707879574082, 295251, 32544, 8048, 9632
1707879574094, 295262, 32400, 8848, 9504
1707879574104, 295273, 31936, 10784, 9600
1707879574116, 295284, 31456, 12400, 10224
1707879574126, 295295, 30848, 12848, 10496
1707879574138, 295306, 30416, 12272, 10464
1707879574148, 295317, 29792, 11664, 10032
1707879574160, 295328, 29440, 11360, 9776
1707879574172, 295339, 29184, 10720, 10064
1707879574182, 295350, 29232, 10896, 10864
1707879574192, 295361, 28464, 11856, 10976
1707879574204, 295372, 28096, 13072, 10800
1707879574214, 295383, 27952, 14448, 11232
1707879574226, 295394, 27808, 14960, 12064
1707879574236, 295405, 27216, 15344, 13968
1707879574248, 295416, 27040, 14704, 15728
1707879574258, 295427, 25536, 12272, 17568
1707879574270, 295438, 24672, 7568, 19312
1707879574280, 295449, 23600, 3200, 19952
1707879574292, 295460, 22016, -272, 20400
1707879574304, 295471, 19568, -3328, 20048
1707879574314, 295482, 17280, -5152, 19696
1707879574324, 295493, 15008, -5872, 19088
1707879574336, 295504, 12720, -5616, 18048
1707879574346, 295515, 11200, -5488, 16784
1707879574358, 295526, 9760, -5376, 15776
1707879574368, 295537, 9584, -5088, 14448
1707879574380, 295548, 7296, -4896, 13344
1707879574390, 295559, 6208, -4512, 12512
1707879574402, 295570, 6048, -4160, 12048
1707879574412, 295581, 4112, -3840, 11456
1707879574424, 295592, 3376, -3568, 10656
1707879574434, 295603, 3264, -3392, 10352
1707879574446, 295614, 2048, -3360, 10144
1707879574456, 295625, 1504, -3536, 10080
1707879574468, 295636, 944, -3936, 10048
1707879574478, 295647, 560, -4048, 9680
1707879574491, 295658, -48, -3968, 8608
1707879574501, 295669, -496, -3792, 8224
1707879574511, 295680, -1024, -3424, 8192
1707879574523, 295691, -1520, -2768, 8272
1707879574533, 295702, -1808, -2384, 8176
1707879574545, 295713, -2048, -2160, 8256
1707879574555, 295724, -2032, -2240, 8624
1707879574567, 295735, -1856, -2288, 9312
1707879574577, 295746, -1840, -2016, 9840
1707879574589, 295757, -1920, -1328, 9696
1707879574599, 295768, -1824, -848, 9840
1707879574611, 295779, -1776, -128, 9616
1707879574621, 295790, -1840, 400, 9552
1707879574634, 295801, -1952, 992, 9312
1707879574644, 295812, -1808, 1632, 9232
1707879574654, 295823, -1920, 2112, 8832
1707879574666, 295834, -2096, 2976, 9264
1707879574676, 295845, -2480, 4560, 10016
1707879574688, 295856, -2720, 5664, 10096
1707879574698, 295867, -2576, 6496, 9824
1707879574710, 295878, -2464, 6720, 8800
1707879574720, 295889, -2000, 6640, 8384
1707879574732, 295900, -1936, 6144, 7984
1707879574742, 295911, -1904, 5504, 7456
1707879574754, 295922, -1664, 5264, 6624
1707879574764, 295933, -1776, 5568, 5712
1707879574776, 295944, -1792, 6528, 5024
1707879574786, 295955, -2096, 7072, 4384
1707879574798, 295966, -2224, 7248, 3440
1707879574808, 295977, -2192, 7456, 3456
1707879574820, 295988, -2448, 7520, 3552
1707879574830, 295999, -2480, 7296, 3664
1707879574842, 296010, -2384, 6768, 4112
1707879574852, 296021, -2288, 6256, 4368
1707879574864, 296032, -2304, 5568, 4544
1707879574874, 296043, -2352, 5088, 4784
1707879574886, 296054, -2256, 4480, 5008
1707879574896, 296065, -2336, 4544, 5280
1707879574908, 296076, -2480, 4992, 5328
1707879574918, 296087, -2592, 5392, 5120
1707879574930, 296098, -2688, 5888, 5520
1707879574940, 296109, -2688, 5984, 5696
1707879574952, 296120, -2560, 5760, 5952
1707879574962, 296131, -2512, 5328, 5728
1707879574974, 296142, -2464, 4992, 5792
1707879574984, 296153, -2416, 4752, 5520
1707879574996, 296164, -2352, 4640, 5184
1707879575006, 296175, -2240, 4352, 4864
1707879575018, 296186, -2144, 4224, 4624
1707879575028, 296197, -2224, 4432, 4416
1707879575040, 296208, -2240, 4640, 4112
1707879575050, 296219, -2304, 5088, 4304
1707879575062, 296230, -2384, 5408, 4288
1707879575072, 296241, -2512, 5568, 4144
1707879575084, 296252, -2576, 5584, 4176
1707879575094, 296263, -2592, 5664, 4272
1707879575106, 296274, -2592, 5696, 4560
1707879575116, 296285, -2560, 5664, 4336
1707879575128, 296296, -2480, 5600, 4080
1707879575138, 296307, -2304, 5232, 4016
1707879575150, 296318, -2384, 5200, 3808
1707879575160, 296329, -2384, 5200, 3648
1707879575172, 296340, -2384, 5392, 3936
1707879575182, 296351, -2400, 5648, 4000
1707879575194, 296362, -2384, 5872, 4080
1707879575204, 296373, -2416, 6064, 4192
1707879575216, 296384, -2528, 6048, 4160
1707879575226, 296395, -2496, 6192, 4256
1707879575238, 296406, -2544, 6320, 4336
1707879575248, 296417, -2544, 6240, 4384
1707879575260, 296428, -2528, 6080, 4432
1707879575270, 296439, -2720, 6096, 4368
1707879575282, 296450, -2544, 6080, 4272
1707879575292, 296461, -2576, 6176, 4352
1707879575304, 296472, -2544, 6016, 4176
1707879575314, 296483, -2528, 5872, 4096
1707879575326, 296494, -2560, 5856, 4144
1707879575336, 296505, -2608, 5904, 4160
1707879575348, 296516, -2672, 6096, 4048
1707879575358, 296527, -2704, 6176, 4032
1707879575370, 296538, -2688, 6064, 3680
1707879575380, 296549, -2688, 6000, 3712
1707879575392, 296560, -2720, 5840, 3744
1707879575402, 296571, -2656, 5712, 3888
1707879575414, 296582, -2656, 5600, 4080
1707879575424, 296593, -2480, 5520, 4160
1707879575436, 296604, -2704, 5664, 4064
1707879575446, 296615, -2752, 5680, 4176
1707879575458, 296626, -2688, 5664, 4288
1707879575468, 296637, -2720, 5568, 4400
1707879575480, 296648, -2736, 5552, 4384
1707879575490, 296659, -2912, 5392, 4496
1707879575502, 296670, -2768, 5488, 4656
1707879575512, 296681, -2784, 5632, 4576
1707879575524, 296692, -2912, 5456, 4624
1707879575534, 296703, -2768, 5424, 4656
1707879575546, 296714, -2880, 5344, 4688
1707879575556, 296725, -2848, 5392, 4704
1707879575568, 296736, -2848, 5504, 4928
1707879575578, 296747, -2848, 5488, 4928
1707879575590, 296758, -2832, 5472, 4800
1707879575600, 296769, -2816, 5328, 4752
1707879575612, 296780, -2688, 5312, 4640
1707879575622, 296791, -2832, 5248, 4672
1707879575634, 296802, -2752, 5072, 4800
1707879575644, 296813, -2752, 5072, 4816
