Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707879710494, 431662, -1504, -5840, -4992
1707879710505, 431673, -1536, -5808, -4592
1707879710516, 431684, -1616, -5904, -4624
1707879710527, 431695, -1584, -5920, -4544
1707879710539, 431706, -1648, -5760, -4528
1707879710549, 431717, -1600, -5856, -4544
1707879710560, 431728, -1552, -5888, -4704
1707879710571, 431739, -1488, -6048, -4752
1707879710582, 431750, -1520, -6032, -4656
1707879710593, 431761, -1408, -5856, -4704
1707879710604, 431772, -1360, -5872, -4656
1707879710616, 431783, -1408, -5936, -4720
1707879710626, 431794, -1424, -5952, -4896
1707879710637, 431805, -1392, -5856, -4768
1707879710648, 431816, -1440, -5824, -4768
1707879710659, 431827, -1456, -5824, -4736
1707879710670, 431838, -1408, -5760, -4608
1707879710681, 431849, -1408, -5728, -4608
1707879710692, 431860, -1440, -5792, -4672
1707879710703, 431871, -1488, -5744, -4688
1707879710714, 431882, -1440, -5680, -4736
1707879710725, 431893, -1216, -5792, -4672
1707879710736, 431904, -1424, -5920, -4640
1707879710747, 431915, -1392, -5888, -4928
1707879710758, 431926, -1536, -5760, -4688
1707879710769, 431937, -1488, -5824, -4784
1707879710780, 431948, -1536, -5856, -4560
1707879710791, 431959, -1584, -5920, -4608
1707879710802, 431970, -1776, -5856, -4576
1707879710813, 431981, -1824, -5920, -4688
1707879710824, 431992, -1856, -5888, -4560
1707879710836, 432003, -1936, -5712, -4528
1707879710846, 432014, -1936, -5680, -4736
1707879710857, 432025, -1824, -5776, -4832
1707879710868, 432036, -1808, -5904, -4864
1707879710879, 432047, -1776, -5808, -4848
1707879710890, 432058, -1552, -5696, -4912
1707879710901, 432069, -1296, -5664, -5120
1707879710912, 432080, -1136, -5520, -5360
1707879710923, 432091, -688, -5504, -5568
1707879710934, 432102, -256, -5920, -5728
1707879710945, 432113, -304, -6272, -5984
1707879710956, 432124, -112, -6336, -5920
1707879710966, 432135, -80, -6880, -5872
1707879710976, 432146, -160, -7408, -5472
1707879710989, 432157, -224, -7728, -5264
1707879711000, 432168, -528, -7728, -4512
1707879711011, 432179, -800, -7632, -4272
1707879711022, 432190, -1120, -7504, -4208
1707879711033, 432201, -1568, -7360, -4112
1707879711044, 432212, -1776, -7392, -3904
1707879711055, 432223, -2016, -7248, -3424
1707879711067, 432234, -2064, -7088, -2880
1707879711077, 432245, -2240, -7088, -3056
1707879711088, 432256, -2160, -6960, -3024
1707879711099, 432267, -1968, -7216, -3088
1707879711110, 432278, -1296, -7888, -3312
1707879711121, 432289, -848, -8336, -2736
1707879711132, 432300, -480, -9312, -2272
1707879711143, 432311, 816, -10288, -2080
1707879711154, 432322, 1808, -10512, -1856
1707879711165, 432333, 2512, -9760, -1040
1707879711176, 432344, 3504, -10448, -112
1707879711187, 432355, 5456, -13200, 1200
1707879711198, 432366, 6032, -14000, 3104
1707879711209, 432377, 6496, -14064, 5040
1707879711220, 432388, 7120, -15968, 7696
1707879711231, 432399, 7280, -17504, 10544
1707879711242, 432410, 6672, -18480, 12672
1707879711253, 432421, 6560, -19728, 14656
1707879711264, 432432, 5456, -20752, 16112
1707879711275, 432443, 5264, -21200, 16848
1707879711286, 432454, 5392, -20944, 17424
1707879711297, 432465, 6288, -20064, 17920
1707879711308, 432476, 6896, -18320, 20224
1707879711319, 432487, 7008, -16512, 22256
1707879711330, 432498, 7648, -14384, 25072
1707879711341, 432509, 8544, -12192, 31024
1707879711352, 432520, 9216, -9408, 32544
1707879711363, 432531, 9408, -5392, 32640
1707879711374, 432542, 8880, -400, 32640
1707879711385, 432553, 8752, 1696, 32640
1707879711396, 432564, 10080, 3024, 32640
1707879711407, 432575, 11616, 5696, 32640
1707879711418, 432586, 14160, 5024, 32640
1707879711429, 432597, 18752, 3568, 32640
1707879711440, 432608, 20320, 7632, 32640
1707879711451, 432619, 30272, 14000, 32640
1707879711462, 432630, 32464, 20608, 32640
1707879711473, 432641, 32560, 25776, 32640
1707879711484, 432652, 32640, 25168, 32640
1707879711495, 432663, 32640, 20992, 32640
1707879711506, 432674, 32640, 14832, 32640
1707879711517, 432685, 32640, 9200, 32640
1707879711528, 432696, 32640, 5408, 32640
1707879711539, 432707, 32640, 8560, 32640
