Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707879605213, 326381, -1824, 6768, 3264
1707879605223, 326392, -1824, 6688, 3008
1707879605235, 326403, -1824, 6768, 2976
1707879605245, 326414, -1808, 6688, 2928
1707879605257, 326425, -1840, 6736, 2944
1707879605267, 326436, -1936, 6880, 2864
1707879605279, 326447, -1936, 6912, 2864
1707879605289, 326458, -1968, 6928, 2944
1707879605301, 326469, -1968, 6928, 2944
1707879605311, 326480, -1824, 7008, 3024
1707879605323, 326491, -1920, 6976, 2992
1707879605333, 326502, -1888, 6896, 2864
1707879605345, 326513, -1952, 6864, 3168
1707879605355, 326524, -1936, 6928, 3280
1707879605367, 326535, -1920, 6992, 3376
1707879605377, 326546, -1824, 6944, 3248
1707879605389, 326557, -1872, 6928, 3184
1707879605399, 326568, -1888, 6928, 3024
1707879605411, 326579, -1776, 6976, 3088
1707879605421, 326590, -1744, 6928, 3056
1707879605433, 326601, -1776, 6656, 3104
1707879605443, 326612, -1648, 6592, 3088
1707879605455, 326623, -1728, 6768, 3040
1707879605465, 326634, -1744, 6928, 2976
1707879605477, 326645, -1744, 6960, 2976
1707879605487, 326656, -1728, 7088, 2720
1707879605499, 326667, -1872, 7040, 2832
1707879605509, 326678, -1792, 6960, 2928
1707879605521, 326689, -1840, 6800, 3120
1707879605531, 326700, -1888, 6768, 3024
1707879605543, 326711, -1680, 6752, 2896
1707879605553, 326722, -1760, 6880, 2960
1707879605565, 326733, -1792, 7088, 2752
1707879605575, 326744, -1840, 7088, 2720
1707879605587, 326755, -1856, 7216, 2688
1707879605597, 326766, -1936, 7264, 2896
1707879605609, 326777, -1968, 7168, 2912
1707879605619, 326788, -1920, 7200, 2896
1707879605631, 326799, -2048, 7248, 2992
1707879605641, 326810, -2128, 7328, 2928
1707879605653, 326821, -2304, 7520, 3056
1707879605663, 326832, -2224, 7424, 3120
1707879605675, 326843, -2208, 7456, 3312
1707879605685, 326854, -2096, 7600, 3360
1707879605697, 326865, -2256, 7632, 3504
1707879605707, 326876, -2320, 7552, 3408
1707879605719, 326887, -2176, 7408, 3488
1707879605729, 326898, -2272, 7296, 3456
1707879605742, 326909, -2224, 7264, 3424
1707879605752, 326920, -2256, 7408, 3712
1707879605762, 326931, -2352, 7536, 3584
1707879605774, 326942, -2336, 7744, 3600
1707879605784, 326953, -2448, 7920, 3456
1707879605796, 326964, -2448, 7776, 3232
1707879605806, 326975, -2256, 7472, 3040
1707879605818, 326986, -2224, 7104, 2464
1707879605828, 326997, -2080, 6848, 1936
1707879605840, 327008, -2176, 6192, 848
1707879605850, 327019, -1664, 5440, -544
1707879605862, 327030, -1216, 5280, -1808
1707879605872, 327041, -944, 5888, -3072
1707879605884, 327052, -480, 6368, -3472
1707879605894, 327063, -256, 6688, -2960
1707879605906, 327074, -288, 7088, -1472
1707879605916, 327085, -96, 7344, -112
1707879605928, 327096, -192, 7568, 1696
1707879605938, 327107, -288, 7248, 4144
1707879605950, 327118, -624, 7040, 6784
1707879605960, 327129, -592, 5856, 10400
1707879605972, 327140, -624, 4272, 13552
1707879605982, 327151, -560, 3056, 16976
1707879605994, 327162, -192, 1472, 20256
1707879606004, 327173, 112, 528, 22480
1707879606016, 327184, 656, -320, 24288
1707879606026, 327195, 912, -1568, 25488
1707879606038, 327206, 1872, -2656, 25520
1707879606050, 327217, 2832, -3056, 25056
1707879606060, 327228, 2944, -2128, 24352
1707879606070, 327239, 4800, -1184, 23920
1707879606082, 327250, 5680, 368, 23520
1707879606092, 327261, 6048, 2112, 23472
1707879606104, 327272, 8320, 4320, 23168
1707879606114, 327283, 9856, 7296, 22144
1707879606126, 327294, 11232, 9568, 21536
1707879606138, 327305, 12640, 11328, 20560
1707879606148, 327316, 14864, 12304, 19488
1707879606160, 327327, 16512, 12768, 18272
1707879606170, 327338, 17808, 13312, 17296
1707879606182, 327349, 19488, 13584, 16160
