Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707880112520, 833690, -7648, -112, -1408
1707880112530, 833701, -7664, -128, -1376
1707880112542, 833712, -7696, -192, -1312
1707880112552, 833723, -7600, -304, -1168
1707880112564, 833734, -7568, -464, -1248
1707880112574, 833745, -7552, -624, -1200
1707880112586, 833756, -7504, -800, -1072
1707880112596, 833767, -7584, -736, -1024
1707880112607, 833778, -7552, -656, -1024
1707880112619, 833789, -7520, -560, -1200
1707880112629, 833800, -7584, -432, -1312
1707880112641, 833811, -7664, -400, -1376
1707880112651, 833822, -7568, -576, -1376
1707880112663, 833833, -7520, -352, -1328
1707880112673, 833844, -7584, -528, -1344
1707880112685, 833855, -7552, -448, -1424
1707880112695, 833866, -7472, -448, -1328
1707880112707, 833877, -7536, -336, -1200
1707880112717, 833888, -7568, -288, -1360
1707880112729, 833899, -7536, -176, -1456
1707880112739, 833910, -7584, -96, -1552
1707880112751, 833921, -7632, -80, -1440
1707880112761, 833932, -7664, -96, -1424
1707880112773, 833943, -7552, -112, -1408
1707880112783, 833954, -7664, -80, -1408
1707880112795, 833965, -7664, -160, -1280
1707880112805, 833976, -7632, -256, -1344
1707880112817, 833987, -7536, -224, -1296
1707880112827, 833998, -7552, -272, -1392
1707880112839, 834009, -7536, -208, -1264
1707880112849, 834020, -7408, -256, -1328
1707880112861, 834031, -7712, -368, -1376
1707880112871, 834042, -7600, -464, -1360
1707880112883, 834053, -7456, -576, -1520
1707880112893, 834064, -7488, -512, -1456
1707880112905, 834075, -7552, -400, -1440
1707880112915, 834086, -7568, -336, -1664
1707880112927, 834097, -7328, -384, -1888
1707880112937, 834108, -7184, -528, -2368
1707880112949, 834119, -7216, -464, -2464
1707880112959, 834130, -6864, -400, -2704
1707880112971, 834141, -6864, -464, -3104
1707880112981, 834152, -6656, -368, -3440
1707880112993, 834163, -6464, -224, -3632
1707880113003, 834174, -6016, -384, -3856
1707880113015, 834185, -5520, -496, -4608
1707880113025, 834196, -4896, -576, -5488
1707880113037, 834207, -4064, -592, -6272
1707880113047, 834218, -3328, -688, -7280
1707880113059, 834229, -2400, -592, -8304
1707880113069, 834240, -2096, -496, -9952
1707880113081, 834251, -352, -384, -11744
1707880113091, 834262, 688, -448, -12720
1707880113103, 834273, 880, -336, -12240
1707880113113, 834284, 2736, 304, -11760
1707880113125, 834295, 3632, 912, -10464
1707880113135, 834306, 3904, 1504, -9392
1707880113147, 834317, 5456, 1920, -8608
1707880113157, 834328, 6464, 1808, -7632
1707880113169, 834339, 7424, 1648, -6240
1707880113179, 834350, 8176, 1552, -4816
1707880113191, 834361, 9040, 1280, -3360
1707880113201, 834372, 9616, 1312, -1888
1707880113214, 834383, 9872, 1104, -272
1707880113224, 834394, 10496, -352, 1456
1707880113234, 834405, 11120, -928, 2688
1707880113247, 834416, 11232, 272, 4272
1707880113257, 834427, 11344, 4960, 7344
1707880113267, 834438, 10704, 8576, 8944
1707880113279, 834449, 12192, 9520, 10096
1707880113289, 834460, 12784, 8736, 12192
1707880113301, 834471, 19328, 5296, 18432
1707880113311, 834482, 21536, 576, 31040
1707880113324, 834493, 21696, 32, 32544
1707880113335, 834504, 12304, 96, 32640
1707880113345, 834515, 2080, 1440, 32640
1707880113355, 834526, -5968, 3824, 32640
1707880113367, 834537, -6672, 2576, 32640
1707880113377, 834548, -2320, -1344, 32608
1707880113389, 834559, -320, -368, 26128
1707880113401, 834570, 1136, 144, 21968
1707880113411, 834581, 1904, 1008, 22432
1707880113421, 834592, 1520, 3216, 24112
1707880113434, 834603, 912, 6128, 24880
1707880113445, 834614, 912, 8592, 23440
1707880113455, 834625, 2224, 8512, 20624
1707880113465, 834636, 3200, 7856, 15904
1707880113477, 834647, 3424, 7040, 12832
1707880113487, 834658, 3904, 7120, 10928
1707880113500, 834669, 3776, 6512, 9696
1707880113511, 834680, 3808, 5040, 7712
1707880113522, 834691, 3872, 4352, 6352
1707880113533, 834702, 3968, 3264, 6784
1707880113544, 834713, 4240, 1968, 6592
1707880113555, 834724, 4640, 1056, 6064
1707880113566, 834735, 5280, -64, 4368
1707880113576, 834746, 6096, -1200, 2288
1707880113586, 834757, 7008, -2800, 256
1707880113598, 834768, 7488, -3712, -2848
1707880113608, 834779, 7280, -3952, -5392
1707880113620, 834790, 6912, -3968, -6896
1707880113630, 834801, 6816, -3648, -8576
1707880113642, 834812, 5296, -2720, -9568
1707880113652, 834823, 4432, -1696, -9872
1707880113664, 834834, 4288, -464, -9872
1707880113674, 834845, 3328, -112, -10432
1707880113686, 834856, 3536, -336, -12784
1707880113696, 834867, 3616, -1328, -15776
1707880113708, 834878, 4640, -2304, -18912
1707880113718, 834889, 5536, -3424, -21760
1707880113730, 834900, 5968, -3568, -22960
1707880113740, 834911, 5872, -2896, -22336
1707880113752, 834922, 5872, -1856, -19216
1707880113762, 834933, 5840, -1328, -16496
1707880113774, 834944, 6000, -1264, -14400
1707880113785, 834955, 6656, -1728, -12816
1707880113795, 834966, 7408, -2288, -11536
1707880113807, 834977, 8208, -2528, -9856
1707880113817, 834988, 8384, -2080, -8576
1707880113829, 834999, 10000, -1200, -7296
1707880113839, 835010, 10736, -384, -5248
1707880113851, 835021, 10912, -368, -2816
1707880113861, 835032, 11904, -880, -1056
1707880113873, 835043, 12128, -1488, 512
1707880113883, 835054, 12208, -1328, 1312
1707880113896, 835065, 12032, 304, 2752
1707880113906, 835076, 11360, 2496, 4544
1707880113916, 835087, 10912, 4128, 6400
1707880113928, 835098, 10416, 6208, 10080
1707880113938, 835109, 9984, 7472, 16624
1707880113950, 835120, 10112, 7968, 19888
1707880113960, 835131, 11136, 10592, 18064
1707880113972, 835142, 12192, 11104, 17024
1707880113982, 835153, 12016, 7776, 27088
1707880113994, 835164, 8160, 7152, 32304
1707880114004, 835175, 6080, 13600, 32640
1707880114016, 835186, -18320, 18048, 32640
1707880114028, 835197, -19968, 10240, 32640
1707880114038, 835208, -17840, 576, 32640
1707880114048, 835219, -6816, 1088, 29648
1707880114060, 835230, -4688, 1584, 26784
1707880114070, 835241, -4048, -1600, 25456
1707880114082, 835252, -400, -2112, 24160
1707880114092, 835263, -32, 1008, 22912
1707880114105, 835274, 0, 3824, 21376
1707880114116, 835285, 128, 5504, 18512
1707880114127, 835296, -32, 7392, 13840
1707880114137, 835307, -576, 9904, 10912
1707880114147, 835318, -928, 11056, 10624
1707880114159, 835329, -560, 9568, 11792
1707880114169, 835340, 304, 6448, 11840
1707880114181, 835351, 1712, 2960, 10976
1707880114191, 835362, 1984, 1424, 9184
1707880114204, 835373, 3056, 1984, 8112
1707880114215, 835384, 3744, 1488, 6496
1707880114226, 835395, 3824, 1360, 4240
1707880114237, 835406, 4912, 1744, 2448
1707880114248, 835417, 5312, 1344, 240
1707880114258, 835428, 5536, -176, -2192
1707880114268, 835439, 6000, -1152, -4512
1707880114280, 835450, 5664, -1408, -6256
1707880114290, 835461, 4848, -1328, -6656
1707880114302, 835472, 4336, -1424, -6656
1707880114312, 835483, 4224, -1696, -6480
1707880114324, 835494, 3792, -2128, -7072
1707880114334, 835505, 3712, -2464, -7584
1707880114346, 835516, 3760, -2784, -8848
1707880114356, 835527, 3856, -2912, -10704
1707880114368, 835538, 4160, -3136, -12880
1707880114380, 835549, 4064, -3488, -15872
