Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707879891276, 612447, -4128, 6352, 1760
1707879891286, 612458, -4128, 6352, 1584
1707879891298, 612469, -4048, 6288, 1744
1707879891310, 612480, -4096, 6144, 1728
1707879891320, 612491, -4016, 6192, 1888
1707879891330, 612502, -4112, 6224, 1728
1707879891342, 612513, -4096, 6272, 1840
1707879891352, 612524, -4080, 6272, 1840
1707879891364, 612535, -4128, 6288, 1952
1707879891374, 612546, -4160, 6256, 1984
1707879891386, 612557, -4112, 6400, 1936
1707879891396, 612568, -4160, 6448, 1888
1707879891408, 612579, -4128, 6384, 2016
1707879891418, 612590, -4032, 6112, 2048
1707879891430, 612601, -4112, 5984, 2000
1707879891440, 612612, -4064, 5856, 1680
1707879891452, 612623, -4160, 5968, 1824
1707879891462, 612634, -4128, 6080, 1712
1707879891474, 612645, -4080, 6096, 1616
1707879891484, 612656, -4064, 6128, 1584
1707879891496, 612667, -4112, 6160, 1632
1707879891506, 612678, -4096, 6128, 1648
1707879891518, 612689, -4080, 6080, 1664
1707879891528, 612700, -4128, 6160, 1632
1707879891540, 612711, -4128, 6208, 1488
1707879891550, 612722, -4144, 6272, 1520
1707879891562, 612733, -4224, 6256, 1552
1707879891572, 612744, -4192, 6256, 1664
1707879891584, 612755, -4240, 6160, 1680
1707879891594, 612766, -4288, 6144, 1744
1707879891606, 612777, -4336, 6176, 1744
1707879891616, 612788, -4480, 6112, 1600
1707879891628, 612799, -4560, 5936, 1392
1707879891638, 612810, -4512, 5744, 1552
1707879891650, 612821, -4832, 5488, 1888
1707879891660, 612832, -4944, 5408, 2256
1707879891672, 612843, -5024, 5440, 2976
1707879891682, 612854, -5056, 5648, 3552
1707879891694, 612865, -5168, 6080, 4640
1707879891704, 612876, -5136, 6368, 5104
1707879891716, 612887, -5184, 6496, 5808
1707879891726, 612898, -5216, 6448, 6320
1707879891738, 612909, -5168, 6112, 6880
1707879891748, 612920, -4960, 5904, 7264
1707879891760, 612931, -5040, 5680, 7664
1707879891770, 612942, -4688, 5456, 7888
1707879891782, 612953, -4432, 5280, 7872
1707879891792, 612964, -4448, 5264, 7312
1707879891804, 612975, -4112, 5264, 7104
1707879891814, 612986, -3872, 5088, 6480
1707879891826, 612997, -3888, 4848, 6320
1707879891836, 613008, -3376, 4352, 5824
1707879891848, 613019, -3072, 3936, 5328
1707879891858, 613030, -2752, 3872, 5248
