Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707879728413, 449581, -4752, 5808, -976
1707879728424, 449592, -4768, 5840, -1008
1707879728435, 449603, -4768, 5744, -1296
1707879728446, 449614, -4624, 5840, -976
1707879728457, 449625, -4720, 5680, -1312
1707879728468, 449636, -4704, 5776, -1264
1707879728479, 449647, -4736, 5808, -1008
1707879728490, 449658, -4784, 5856, -1184
1707879728501, 449669, -4784, 5728, -1264
1707879728512, 449680, -4768, 5904, -1328
1707879728523, 449691, -4784, 5952, -1136
1707879728534, 449702, -4720, 5872, -1056
1707879728545, 449713, -4624, 5872, -1056
1707879728556, 449724, -4736, 5936, -1072
1707879728567, 449735, -4832, 6000, -976
1707879728578, 449746, -4848, 6080, -944
1707879728589, 449757, -4800, 6016, -1072
1707879728600, 449768, -4736, 5856, -992
1707879728611, 449779, -4928, 5920, -1008
1707879728622, 449790, -4688, 5712, -992
1707879728633, 449801, -4640, 5600, -1280
1707879728644, 449812, -4624, 5616, -1168
1707879728655, 449823, -4640, 5616, -1200
1707879728666, 449834, -4592, 5792, -1312
1707879728677, 449845, -4736, 5856, -1264
1707879728688, 449856, -4720, 5824, -1152
1707879728699, 449867, -4608, 5792, -1056
1707879728710, 449878, -4624, 5904, -1008
1707879728721, 449889, -4640, 5856, -1024
1707879728732, 449900, -4816, 5984, -1216
1707879728743, 449911, -4640, 6032, -1216
1707879728754, 449922, -4656, 6000, -1216
1707879728765, 449933, -4784, 6112, -1616
1707879728776, 449944, -4560, 6400, -1680
1707879728787, 449955, -4640, 6656, -1648
1707879728798, 449966, -4608, 6800, -2096
1707879728809, 449977, -4608, 7072, -2736
1707879728820, 449988, -4544, 7392, -3488
1707879728831, 449999, -4544, 7600, -4192
1707879728842, 450010, -4512, 7680, -4608
1707879728853, 450021, -4400, 7792, -5296
1707879728864, 450032, -4448, 8080, -5776
1707879728875, 450043, -4464, 8128, -6352
1707879728886, 450054, -4208, 7888, -7120
1707879728897, 450065, -4048, 7216, -7216
1707879728908, 450076, -3872, 6512, -6912
1707879728919, 450087, -3776, 6000, -6800
1707879728930, 450098, -3488, 6000, -6912
1707879728941, 450109, -3200, 5952, -7408
1707879728952, 450120, -3152, 5760, -7520
1707879728961, 450131, -2752, 5552, -6960
1707879728974, 450142, -2592, 5312, -6192
1707879728985, 450153, -2464, 4912, -5808
1707879728996, 450164, -1952, 4624, -5520
1707879729007, 450175, -1616, 4336, -4832
1707879729018, 450186, -1488, 4320, -4208
1707879729029, 450197, -1216, 4032, -3664
1707879729040, 450208, -912, 3216, -3024
1707879729051, 450219, -672, 2432, -2368
1707879729062, 450230, -512, 1968, -1632
1707879729073, 450241, -256, 1536, -784
1707879729084, 450252, -144, 1536, -256
1707879729094, 450263, -96, 1840, 160
1707879729104, 450274, -224, 1872, 288
1707879729116, 450285, 16, 1744, 384
1707879729126, 450296, 16, 1616, 384
1707879729136, 450307, 0, 1392, 464
1707879729148, 450318, 288, 1216, 400
1707879729161, 450329, 496, 1120, 1184
1707879729172, 450340, 592, 1328, 1824
1707879729183, 450351, 944, 1904, 1904
1707879729194, 450362, 1008, 2848, 1600
1707879729205, 450373, 1168, 3376, 2000
1707879729216, 450384, 1360, 3376, 2736
1707879729227, 450395, 1760, 3264, 3072
1707879729238, 450406, 1952, 3424, 3488
1707879729249, 450417, 2064, 4000, 4256
1707879729260, 450428, 2304, 4848, 5168
1707879729271, 450439, 2384, 5040, 5232
1707879729282, 450450, 2448, 4544, 5872
1707879729293, 450461, 2416, 3904, 7200
1707879729304, 450472, 3024, 3424, 7888
1707879729315, 450483, 2928, 3376, 8272
1707879729326, 450494, 2976, 3504, 9264
1707879729337, 450505, 3408, 4016, 10128
1707879729348, 450516, 3376, 4864, 11296
1707879729359, 450527, 3328, 6016, 10992
1707879729370, 450538, 2464, 5904, 9696
1707879729381, 450549, 2848, 5008, 10000
1707879729392, 450560, 3568, 4656, 11328
1707879729402, 450571, 4048, 5232, 12352
1707879729412, 450582, 4416, 6704, 12272
1707879729425, 450593, 3664, 8096, 10864
1707879729436, 450604, 3488, 8384, 9280
1707879729447, 450615, 3424, 8288, 8768
1707879729458, 450626, 3664, 8752, 9888
1707879729469, 450637, 3872, 9712, 10448
1707879729480, 450648, 3984, 10976, 9712
1707879729491, 450659, 3984, 12352, 8944
1707879729502, 450670, 3888, 12832, 8544
1707879729513, 450681, 3920, 13088, 8096
1707879729524, 450692, 3648, 12960, 8368
1707879729535, 450703, 3776, 13216, 9296
1707879729546, 450714, 3808, 14080, 10096
1707879729557, 450725, 4176, 14912, 9872
1707879729568, 450736, 4352, 16560, 8832
1707879729579, 450747, 4464, 17792, 7712
1707879729590, 450758, 4560, 18320, 5952
1707879729601, 450769, 4512, 18272, 4928
1707879729612, 450780, 4768, 17488, 5616
1707879729623, 450791, 5152, 16592, 6544
1707879729634, 450802, 5808, 15648, 6640
1707879729644, 450813, 6368, 15888, 5952
1707879729654, 450824, 6512, 16848, 4176
1707879729667, 450835, 6608, 18064, 1168
1707879729678, 450846, 6752, 18224, -240
1707879729689, 450857, 6720, 17312, 80
1707879729700, 450868, 6752, 15776, 1568
1707879729711, 450879, 7088, 14672, 2080
1707879729721, 450890, 7184, 14048, 2176
1707879729731, 450901, 7264, 13952, 1552
1707879729743, 450912, 7584, 13968, 704
1707879729753, 450923, 7472, 14112, -144
1707879729766, 450934, 7280, 14288, -352
1707879729777, 450945, 7008, 14064, -912
1707879729788, 450956, 7008, 13520, -1504
1707879729799, 450967, 6704, 13200, -2080
1707879729810, 450978, 6560, 12992, -2576
1707879729821, 450989, 6368, 12624, -3712
1707879729832, 451000, 6048, 12592, -4192
1707879729843, 451011, 5712, 12480, -4448
1707879729854, 451022, 5664, 11984, -4304
1707879729865, 451033, 5312, 11408, -3984
1707879729876, 451044, 5280, 11168, -4272
1707879729887, 451055, 5120, 10672, -4896
1707879729898, 451066, 5024, 10128, -4880
1707879729908, 451077, 4784, 9360, -4640
1707879729918, 451088, 4784, 8384, -4240
1707879729931, 451099, 4512, 7696, -3840
1707879729942, 451110, 4240, 7120, -3680
1707879729953, 451121, 3904, 6768, -3792
1707879729963, 451132, 3600, 6592, -3824
1707879729973, 451143, 3008, 6576, -3776
1707879729986, 451154, 2768, 6512, -3376
1707879729997, 451165, 2480, 6448, -3248
1707879730008, 451176, 2352, 5840, -3248
1707879730019, 451187, 2352, 5424, -3312
1707879730030, 451198, 2176, 5440, -3376
1707879730041, 451209, 2128, 5840, -3136
1707879730052, 451220, 1488, 5584, -3168
1707879730063, 451231, 1408, 4896, -3216
1707879730074, 451242, 1312, 3984, -2480
1707879730085, 451253, 1168, 3568, -1776
1707879730096, 451264, 1024, 2816, -1760
1707879730107, 451275, 912, 3328, -1888
1707879730118, 451286, 560, 3808, -2240
1707879730129, 451297, 128, 2896, -944
1707879730139, 451308, -176, 1968, 16
1707879730149, 451319, -448, 1616, 288
1707879730162, 451330, -960, 1872, 512
1707879730172, 451341, -1344, 1984, 880
1707879730182, 451352, -1808, 2224, 320
1707879730195, 451363, -2208, 2144, -592
1707879730206, 451374, -2272, 1984, -912
1707879730217, 451385, -2512, 1872, -1248
1707879730228, 451396, -2688, 2528, -608
1707879730239, 451407, -3040, 2832, -256
1707879730250, 451418, -3136, 2768, 32
1707879730261, 451429, -3136, 2240, 1120
1707879730272, 451440, -3568, 2032, 1856
1707879730283, 451451, -3792, 2096, 1328
1707879730294, 451462, -3872, 2352, 1456
1707879730305, 451473, -4064, 2432, 2144
1707879730316, 451484, -4112, 2768, 2944
1707879730327, 451495, -4272, 2944, 2752
1707879730337, 451506, -4496, 3104, 2720
1707879730347, 451517, -4784, 3248, 3120
1707879730360, 451528, -4784, 3376, 3376
1707879730371, 451539, -4768, 3616, 3680
1707879730382, 451550, -5136, 3776, 4064
1707879730393, 451561, -5264, 3776, 4848
1707879730404, 451572, -5440, 3936, 4976
1707879730415, 451583, -5360, 3936, 4608
1707879730426, 451594, -5440, 4128, 4192
1707879730437, 451605, -5520, 4256, 3680
1707879730448, 451616, -5584, 4592, 3248
1707879730459, 451627, -5840, 5152, 3088
1707879730470, 451638, -5952, 5632, 2560
1707879730481, 451649, -5968, 5536, 2400
1707879730492, 451660, -5888, 5376, 2448
1707879730503, 451671, -6016, 5424, 2480
1707879730514, 451682, -6112, 5600, 1984
1707879730525, 451693, -6080, 5840, 1616
1707879730536, 451704, -5984, 5904, 1120
1707879730547, 451715, -6080, 5824, 656
1707879730558, 451726, -6240, 6096, 400
1707879730569, 451737, -6224, 6224, 336
1707879730580, 451748, -6224, 6144, 208
1707879730591, 451759, -6160, 6224, -64
1707879730601, 451770, -6160, 6256, -160
1707879730611, 451781, -6128, 6176, -64
1707879730624, 451792, -6000, 5824, -16
1707879730635, 451803, -5968, 5648, -192
1707879730646, 451814, -5888, 5792, -144
1707879730657, 451825, -5952, 5872, -32
1707879730668, 451836, -5920, 5872, -112
1707879730679, 451847, -5744, 5984, -176
1707879730690, 451858, -5648, 5792, -128
1707879730701, 451869, -5600, 5616, -80
1707879730712, 451880, -5376, 5424, -176
1707879730723, 451891, -5488, 5616, -160
1707879730734, 451902, -5504, 5712, 176
1707879730744, 451913, -5440, 5616, 112
1707879730754, 451924, -5200, 5536, 32
1707879730767, 451935, -5312, 5568, -96
1707879730778, 451946, -5376, 5504, -96
1707879730789, 451957, -5296, 5216, -112
1707879730800, 451968, -5248, 5136, -80
1707879730811, 451979, -5344, 5232, 64
1707879730822, 451990, -5296, 5248, 16
1707879730833, 452001, -5264, 5424, -160
1707879730844, 452012, -5360, 5424, -416
1707879730855, 452023, -5248, 5552, -320
1707879730866, 452034, -5376, 5360, -448
1707879730877, 452045, -5424, 5360, -752
1707879730888, 452056, -5472, 5392, -448
1707879730899, 452067, -5328, 5296, -272
1707879730910, 452078, -5424, 5280, -288
1707879730921, 452089, -5360, 5024, -304
1707879730932, 452100, -5472, 4800, -192
