Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707879804246, 525415, -4304, 6192, 704
1707879804257, 525426, -4336, 6272, 848
1707879804268, 525437, -4272, 6320, 784
1707879804279, 525448, -4256, 6304, 656
1707879804290, 525459, -4304, 6304, 720
1707879804301, 525470, -4304, 6304, 592
1707879804312, 525481, -4336, 6384, 656
1707879804323, 525492, -4368, 6400, 688
1707879804334, 525503, -4288, 6288, 624
1707879804345, 525514, -4352, 6368, 672
1707879804356, 525525, -4320, 6256, 768
1707879804367, 525536, -4352, 6256, 896
1707879804378, 525547, -4272, 6224, 848
1707879804389, 525558, -4288, 6256, 832
1707879804400, 525569, -4304, 6256, 736
1707879804411, 525580, -4352, 6256, 752
1707879804422, 525591, -4288, 6224, 816
1707879804433, 525602, -4240, 6272, 848
1707879804444, 525613, -4272, 6224, 752
1707879804455, 525624, -4368, 6288, 752
1707879804466, 525635, -4416, 6368, 832
1707879804477, 525646, -4352, 6416, 768
1707879804488, 525657, -4368, 6368, 528
1707879804499, 525668, -4400, 6192, 832
1707879804510, 525679, -4336, 6080, 848
1707879804521, 525690, -4320, 6080, 944
1707879804532, 525701, -4448, 6208, 1024
1707879804543, 525712, -4368, 6304, 992
1707879804554, 525723, -4384, 6336, 768
1707879804565, 525734, -4400, 6288, 704
1707879804576, 525745, -4416, 6304, 720
1707879804587, 525756, -4416, 6368, 544
1707879804598, 525767, -4400, 6448, 560
1707879804609, 525778, -4416, 6432, 592
1707879804620, 525789, -4384, 6416, 528
1707879804631, 525800, -4448, 6384, 720
1707879804642, 525811, -4528, 6400, 592
1707879804653, 525822, -4576, 6368, 464
1707879804664, 525833, -4768, 6432, 384
1707879804675, 525844, -4976, 6576, 416
1707879804686, 525855, -5104, 6928, 48
1707879804697, 525866, -5264, 7184, -48
1707879804708, 525877, -5392, 7344, -112
1707879804719, 525888, -5472, 7376, 128
1707879804730, 525899, -5488, 7248, 544
1707879804741, 525910, -5488, 7072, 1232
1707879804752, 525921, -5424, 6800, 1712
1707879804763, 525932, -5344, 6384, 2192
1707879804774, 525943, -5232, 5984, 2944
1707879804785, 525954, -5280, 5792, 4128
1707879804796, 525965, -5216, 5616, 4960
1707879804807, 525976, -5168, 5312, 5536
1707879804818, 525987, -5120, 4912, 6192
1707879804829, 525998, -5056, 4832, 7024
1707879804840, 526009, -5104, 4800, 7408
1707879804851, 526020, -4896, 4400, 7248
1707879804862, 526031, -4656, 4064, 6816
1707879804873, 526042, -4544, 3712, 6144
1707879804884, 526053, -4304, 3680, 5824
1707879804895, 526064, -4160, 3680, 5280
1707879804906, 526075, -4144, 3568, 4928
1707879804917, 526086, -3824, 3440, 4448
1707879804928, 526097, -3728, 3344, 3664
1707879804939, 526108, -3376, 3120, 3056
1707879804950, 526119, -3168, 2976, 2640
1707879804961, 526130, -2816, 2736, 2256
1707879804972, 526141, -2800, 2752, 2112
1707879804983, 526152, -2752, 2848, 1456
1707879804994, 526163, -2704, 3056, 800
1707879805005, 526174, -2624, 3072, 448
1707879805016, 526185, -2448, 2928, 480
1707879805027, 526196, -2576, 2832, 432
1707879805038, 526207, -2048, 3264, 48
1707879805049, 526218, -2144, 3984, -736
1707879805060, 526229, -2224, 4784, -1712
1707879805071, 526240, -2240, 5200, -2016
1707879805082, 526251, -2336, 5184, -1824
1707879805093, 526262, -2272, 4480, -912
1707879805104, 526273, -1712, 3760, -336
1707879805115, 526284, -1440, 3664, -400
1707879805126, 526295, -1184, 4208, -800
1707879805137, 526306, -1472, 5168, -960
1707879805148, 526317, -1520, 6368, -1200
1707879805159, 526328, -1520, 6704, -1520
1707879805170, 526339, -1248, 6640, -1568
1707879805181, 526350, -1056, 6240, -1648
1707879805192, 526361, -1296, 5904, -1360
1707879805203, 526372, -912, 5840, -1264
1707879805214, 526383, -928, 6160, -1200
1707879805225, 526394, -704, 6384, -1424
1707879805236, 526405, -480, 6560, -992
1707879805247, 526416, -464, 6768, -1152
1707879805258, 526427, -272, 6992, -1488
1707879805269, 526438, -320, 7104, -1600
1707879805280, 526449, -256, 6624, -1056
1707879805291, 526460, 0, 6128, -576
1707879805302, 526471, 112, 6080, -688
1707879805313, 526482, 464, 6464, -592
1707879805324, 526493, 640, 6928, -496
1707879805335, 526504, 896, 7440, -448
1707879805346, 526515, 912, 7696, -400
1707879805357, 526526, 896, 7616, -256
1707879805368, 526537, 896, 7296, 224
1707879805379, 526548, 1376, 7360, 192
1707879805390, 526559, 1472, 7840, 64
1707879805401, 526570, 1584, 8752, -608
1707879805412, 526581, 1776, 9616, -1008
1707879805423, 526592, 1920, 10032, -1008
1707879805434, 526603, 1808, 10528, -672
1707879805445, 526614, 2368, 10672, -240
1707879805456, 526625, 2416, 10480, 160
1707879805467, 526636, 2688, 10352, 112
1707879805478, 526647, 3024, 9936, 64
1707879805489, 526658, 3392, 10096, 784
1707879805500, 526669, 3600, 10720, 1520
1707879805511, 526680, 3760, 11408, 2048
1707879805522, 526691, 3952, 11712, 1968
1707879805533, 526702, 4240, 11504, 2400
1707879805544, 526713, 4640, 10864, 2688
1707879805555, 526724, 4880, 10032, 2800
1707879805566, 526735, 5296, 9600, 3168
1707879805577, 526746, 5392, 9472, 3616
1707879805588, 526757, 5424, 9616, 3712
1707879805599, 526768, 5280, 9616, 3760
1707879805610, 526779, 5152, 9776, 3568
1707879805621, 526790, 5136, 9760, 3376
1707879805632, 526801, 5120, 9984, 3248
1707879805643, 526812, 5168, 10192, 3328
1707879805654, 526823, 5136, 10640, 3472
1707879805665, 526834, 5040, 11168, 4048
1707879805676, 526845, 4944, 11568, 4736
1707879805687, 526856, 4800, 11968, 5408
1707879805698, 526867, 4544, 12272, 5904
1707879805709, 526878, 4608, 12624, 6528
1707879805720, 526889, 4672, 12640, 6848
1707879805731, 526900, 4720, 12464, 7456
1707879805742, 526911, 4816, 12128, 8544
1707879805753, 526922, 4448, 11840, 9488
1707879805764, 526933, 4336, 11488, 10096
1707879805775, 526944, 4480, 11184, 10560
1707879805786, 526955, 4032, 11344, 10736
1707879805797, 526966, 3904, 11536, 10432
1707879805808, 526977, 3808, 11312, 10576
1707879805819, 526988, 3584, 10912, 11008
1707879805830, 526999, 3472, 9984, 11488
1707879805841, 527010, 3456, 9504, 11536
1707879805852, 527021, 3360, 9296, 11360
1707879805863, 527032, 3248, 8896, 10896
1707879805874, 527043, 3216, 8368, 10496
1707879805885, 527054, 3104, 7776, 10528
1707879805896, 527065, 2880, 7408, 10688
1707879805907, 527076, 2624, 7280, 10560
1707879805918, 527087, 2304, 7328, 10336
1707879805929, 527098, 2464, 7200, 9984
1707879805940, 527109, 2112, 6800, 9792
1707879805951, 527120, 1984, 6032, 9888
1707879805962, 527131, 2144, 5200, 9552
1707879805973, 527142, 1712, 4512, 9392
1707879805984, 527153, 1488, 3888, 8880
1707879805995, 527164, 1440, 3824, 9104
1707879806006, 527175, 1008, 4560, 9600
1707879806017, 527186, 544, 5600, 10192
1707879806028, 527197, 160, 6112, 10352
1707879806039, 527208, 128, 6128, 9664
1707879806050, 527219, 128, 5488, 8320
1707879806061, 527230, 272, 5040, 7968
1707879806072, 527241, 176, 4288, 7792
1707879806083, 527252, 240, 3504, 7440
1707879806094, 527263, 96, 3088, 7152
1707879806105, 527274, -16, 2992, 6896
1707879806116, 527285, -64, 2944, 6512
1707879806127, 527296, -192, 3168, 6448
1707879806138, 527307, -320, 3776, 6608
1707879806149, 527318, -400, 4992, 6144
1707879806160, 527329, -992, 5216, 5600
1707879806171, 527340, -832, 4752, 5088
1707879806182, 527351, -768, 4336, 4800
1707879806193, 527362, -688, 3744, 4816
1707879806204, 527373, -656, 2880, 4288
1707879806215, 527384, -624, 2688, 4080
1707879806226, 527395, -800, 2816, 3456
1707879806237, 527406, -1136, 3008, 2544
1707879806248, 527417, -1312, 3056, 1872
1707879806259, 527428, -1456, 3360, 1584
1707879806270, 527439, -1616, 3344, 1584
1707879806281, 527450, -1728, 3408, 1440
1707879806292, 527461, -1872, 3472, 1168
1707879806303, 527472, -1840, 3232, 816
1707879806314, 527483, -2048, 2768, 768
1707879806325, 527494, -2096, 2432, 352
1707879806336, 527505, -2128, 2544, 208
1707879806347, 527516, -2336, 2880, -352
1707879806358, 527527, -2496, 3344, -960
1707879806369, 527538, -2592, 3360, -1280
1707879806380, 527549, -2672, 3120, -1504
1707879806391, 527560, -2656, 2624, -1280
1707879806402, 527571, -2832, 2384, -1120
1707879806413, 527582, -2880, 2480, -1024
1707879806424, 527593, -3072, 2976, -1664
1707879806435, 527604, -3120, 3376, -1968
1707879806446, 527615, -3248, 3584, -1872
1707879806457, 527626, -3264, 3712, -1728
1707879806468, 527637, -3280, 3968, -1280
1707879806479, 527648, -3184, 4080, -736
1707879806490, 527659, -3120, 4352, -864
1707879806501, 527670, -3264, 5056, -1520
