Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707879873094, 594264, -4432, 6128, 704
1707879873104, 594275, -4480, 6176, 656
1707879873116, 594286, -4496, 6224, 640
1707879873126, 594297, -4544, 6256, 528
1707879873138, 594308, -4544, 6336, 576
1707879873148, 594319, -4528, 6352, 656
1707879873160, 594330, -4416, 6224, 848
1707879873170, 594341, -4416, 6064, 704
1707879873182, 594352, -4336, 5984, 720
1707879873192, 594363, -4368, 5984, 784
1707879873204, 594374, -4432, 6032, 864
1707879873214, 594385, -4432, 5952, 848
1707879873226, 594396, -4496, 5936, 784
1707879873236, 594407, -4448, 6096, 704
1707879873248, 594418, -4512, 6128, 640
1707879873258, 594429, -4464, 6240, 672
1707879873270, 594440, -4480, 6336, 704
1707879873280, 594451, -4512, 6400, 784
1707879873292, 594462, -4464, 6368, 832
1707879873302, 594473, -4464, 6288, 864
1707879873314, 594484, -4560, 6224, 752
1707879873324, 594495, -4576, 6288, 800
1707879873336, 594506, -4528, 6192, 848
1707879873346, 594517, -4496, 6240, 816
1707879873358, 594528, -4352, 6096, 736
1707879873368, 594539, -4448, 6208, 784
1707879873380, 594550, -4512, 6320, 912
1707879873390, 594561, -4480, 6288, 672
1707879873402, 594572, -4480, 6176, 768
1707879873412, 594583, -4480, 6112, 592
1707879873424, 594594, -4464, 6048, 720
1707879873434, 594605, -4384, 5952, 640
1707879873446, 594616, -4400, 6016, 656
1707879873456, 594627, -4400, 6000, 784
1707879873468, 594638, -4384, 6016, 704
1707879873478, 594649, -4320, 6128, 624
1707879873490, 594660, -4384, 6112, 752
1707879873500, 594671, -4448, 6112, 512
1707879873512, 594682, -4448, 6048, 704
1707879873522, 594693, -4400, 6160, 672
1707879873534, 594704, -4480, 6080, 832
1707879873544, 594715, -4432, 6160, 624
1707879873556, 594726, -4464, 6080, 496
1707879873566, 594737, -4512, 6064, 672
1707879873578, 594748, -4432, 6000, 576
1707879873588, 594759, -4528, 6112, 544
1707879873600, 594770, -4512, 6224, 656
1707879873610, 594781, -4576, 6192, 608
1707879873622, 594792, -4496, 6160, 704
1707879873632, 594803, -4368, 6176, 656
