Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707879944847, 666017, -6096, 704, 4512
1707879944859, 666028, -6160, 560, 4560
1707879944869, 666039, -6080, 624, 4672
1707879944881, 666050, -5904, 624, 4624
1707879944891, 666061, -6128, 688, 4528
1707879944903, 666072, -6128, 688, 4432
1707879944913, 666083, -6144, 768, 4448
1707879944925, 666094, -6176, 736, 4416
1707879944935, 666105, -6128, 704, 4272
1707879944947, 666116, -5936, 656, 4480
1707879944957, 666127, -6096, 592, 4480
1707879944969, 666138, -6096, 544, 4816
1707879944979, 666149, -6080, 576, 4624
1707879944991, 666160, -6208, 656, 4560
1707879945001, 666171, -6208, 640, 4512
1707879945013, 666182, -6160, 688, 4576
1707879945023, 666193, -6144, 624, 4560
1707879945035, 666204, -6096, 704, 4608
1707879945045, 666215, -6128, 656, 4432
1707879945057, 666226, -6176, 704, 4448
1707879945067, 666237, -6240, 672, 4528
1707879945077, 666248, -6192, 656, 4528
1707879945089, 666259, -6272, 640, 4448
1707879945101, 666270, -6288, 464, 4352
1707879945111, 666281, -6272, 224, 4432
1707879945123, 666292, -6304, -144, 4448
1707879945133, 666303, -6224, -704, 5056
1707879945146, 666314, -6576, -848, 5408
1707879945157, 666325, -6704, -912, 5584
1707879945168, 666336, -6688, -1056, 5744
1707879945179, 666347, -6704, -1024, 6096
1707879945189, 666358, -6576, -464, 6496
1707879945199, 666369, -6320, 624, 6624
1707879945212, 666380, -6320, 3376, 6960
1707879945222, 666391, -7008, 7776, 6880
1707879945232, 666402, -7424, 11872, 5744
1707879945245, 666413, -7680, 15440, 3744
1707879945256, 666424, -7600, 18784, 1248
1707879945267, 666435, -7376, 19760, -112
1707879945278, 666446, -6704, 18560, -608
1707879945289, 666457, -6416, 15200, -624
1707879945300, 666468, -3952, 11056, -400
1707879945310, 666479, -2656, 6704, 240
1707879945320, 666490, -2352, -512, 1696
1707879945332, 666501, 320, -8112, 4768
1707879945342, 666512, 1728, -20592, 7520
1707879945355, 666523, 3200, -30752, 8368
1707879945366, 666534, 3584, -32512, 7280
1707879945377, 666545, 3904, -32624, 4960
1707879945388, 666556, 3952, -32624, 4160
1707879945399, 666567, 3728, -28064, 5104
1707879945410, 666578, 3456, -19024, 7920
1707879945421, 666589, 2560, -11296, 10720
1707879945432, 666600, 1696, -4464, 12528
1707879945443, 666611, 1520, 3888, 13456
1707879945454, 666622, -192, 13120, 13216
1707879945465, 666633, -3088, 23728, 10416
1707879945476, 666644, -3600, 32032, 4672
1707879945487, 666655, -7088, 32608, -832
1707879945498, 666666, -8032, 32640, -4576
1707879945509, 666677, -8096, 32640, -5968
1707879945520, 666688, -7728, 32640, -5616
1707879945531, 666699, -6256, 28880, -3552
1707879945542, 666710, -3632, 22256, -1632
1707879945553, 666721, -1344, 14608, 1008
1707879945563, 666732, 912, 4480, 5536
1707879945573, 666743, 2112, -4928, 9264
1707879945586, 666754, 2784, -14464, 10752
1707879945597, 666765, 3200, -27616, 11920
1707879945608, 666776, 3040, -32304, 11552
1707879945619, 666787, 2272, -32608, 9600
1707879945630, 666798, 2144, -32624, 7024
1707879945641, 666809, 1888, -29392, 5424
1707879945652, 666820, 1840, -24032, 5280
1707879945663, 666831, 1952, -15840, 5904
1707879945673, 666842, 592, -9584, 6960
1707879945683, 666853, -208, -3808, 7456
1707879945695, 666864, -592, 3696, 7824
1707879945705, 666875, -2880, 10832, 7792
1707879945718, 666886, -5008, 20624, 6448
1707879945729, 666897, -7552, 26544, 4144
1707879945740, 666908, -8656, 30384, 1328
1707879945751, 666919, -9552, 31088, -1504
1707879945762, 666930, -9664, 30208, -3008
1707879945773, 666941, -9232, 28192, -3312
1707879945784, 666952, -7648, 23552, -1920
1707879945795, 666963, -5600, 18016, -640
1707879945806, 666974, -3488, 11408, 1392
1707879945817, 666985, -3008, 2096, 4864
1707879945828, 666996, -144, -5280, 7216
1707879945838, 667007, 336, -12432, 8288
1707879945848, 667018, 288, -23424, 8848
1707879945861, 667029, 1536, -29888, 8912
1707879945872, 667040, 1392, -32400, 7920
1707879945883, 667051, 1312, -31824, 7312
1707879945894, 667062, 1760, -28528, 6544
1707879945905, 667073, 2000, -21792, 6640
1707879945916, 667084, 1744, -14544, 7760
1707879945926, 667095, 832, -7920, 9088
1707879945936, 667106, -368, -560, 8928
1707879945949, 667117, -1200, 5344, 8816
1707879945960, 667128, -2976, 12720, 8240
1707879945971, 667139, -5600, 21968, 5568
1707879945982, 667150, -7456, 27008, 2656
1707879945993, 667161, -8592, 30256, -176
1707879946004, 667172, -8848, 30768, -2464
1707879946014, 667183, -9216, 29408, -3424
1707879946024, 667194, -8592, 27056, -3024
1707879946037, 667205, -8320, 22048, -2176
1707879946047, 667216, -5488, 16752, -1120
1707879946057, 667227, -3776, 10992, 800
1707879946070, 667238, -3360, 4544, 3664
1707879946081, 667249, -1808, -848, 7216
1707879946091, 667260, -1328, -8608, 11328
1707879946101, 667271, -784, -15840, 11888
1707879946114, 667282, 240, -23808, 10768
1707879946124, 667293, 880, -30016, 8528
1707879946134, 667304, 912, -30448, 7344
1707879946147, 667315, 640, -27744, 6448
1707879946158, 667326, 352, -22544, 6560
1707879946169, 667337, 272, -17584, 7600
1707879946180, 667348, -240, -12192, 8592
1707879946190, 667359, -352, -5712, 9184
1707879946200, 667370, -1840, -304, 8928
1707879946212, 667381, -2912, 6192, 8384
1707879946222, 667392, -3312, 15584, 6640
1707879946235, 667403, -6752, 22816, 4224
1707879946246, 667414, -8288, 27632, 816
1707879946257, 667425, -8416, 29632, -1840
1707879946268, 667436, -8832, 28784, -3328
1707879946279, 667447, -8336, 26432, -3536
1707879946290, 667458, -8144, 24080, -3024
1707879946301, 667469, -5808, 20224, -2496
1707879946312, 667480, -3424, 13776, -256
1707879946323, 667491, -1808, 8192, 2640
1707879946333, 667502, -720, 2640, 5808
1707879946343, 667513, 240, -4256, 8880
1707879946356, 667524, 992, -10432, 8624
1707879946367, 667535, 2224, -19168, 7472
1707879946378, 667546, 2608, -30112, 6288
1707879946389, 667557, 3504, -32480, 6144
1707879946400, 667568, 3488, -32624, 6176
1707879946411, 667579, 3424, -32544, 6208
1707879946422, 667590, 3552, -27040, 6944
1707879946433, 667601, 3120, -18176, 8752
1707879946444, 667612, 2800, -6976, 10224
1707879946454, 667623, -528, 576, 10000
1707879946464, 667634, -2064, 9424, 8928
1707879946477, 667645, -2576, 18432, 7840
1707879946488, 667656, -7504, 25680, 5808
1707879946499, 667667, -9520, 30800, 1824
1707879946510, 667678, -9888, 31568, -160
1707879946521, 667689, -9744, 30656, -2240
1707879946532, 667700, -9168, 28368, -2464
1707879946543, 667711, -8160, 25872, -1760
1707879946553, 667722, -6768, 22032, -1312
1707879946563, 667733, -6480, 15216, 32
1707879946575, 667744, -2176, 8784, 2256
1707879946585, 667755, -832, 2128, 5184
1707879946598, 667766, -560, -5776, 8816
1707879946609, 667777, 960, -12848, 9840
1707879946620, 667788, 1952, -22112, 9856
1707879946631, 667799, 2288, -31728, 9040
1707879946642, 667810, 3088, -32576, 8160
1707879946653, 667821, 3312, -32624, 7216
1707879946664, 667832, 3488, -30176, 7424
1707879946675, 667843, 3280, -21904, 8224
1707879946686, 667854, 1984, -10768, 9600
1707879946696, 667865, 592, -3536, 9600
1707879946706, 667876, -944, 2736, 8944
1707879946719, 667887, -3008, 11344, 8512
1707879946730, 667898, -5392, 19328, 7568
1707879946741, 667909, -7824, 25760, 5440
1707879946752, 667920, -8192, 30048, 1616
1707879946763, 667931, -9664, 30816, -1472
1707879946773, 667942, -9728, 29920, -3120
1707879946783, 667953, -9600, 27984, -3536
1707879946795, 667964, -8016, 24752, -2384
1707879946805, 667975, -6128, 19904, -672
1707879946818, 667986, -5488, 11856, 1232
1707879946829, 667997, -1744, 5088, 3744
1707879946840, 668008, -784, -1888, 6880
1707879946850, 668019, -48, -7280, 8336
1707879946860, 668030, 496, -13952, 9328
1707879946873, 668041, 1120, -22064, 9328
1707879946884, 668052, 1216, -26192, 8368
1707879946895, 668063, 1200, -28832, 7424
1707879946906, 668074, 1456, -29536, 6560
1707879946917, 668085, 1312, -26512, 6512
1707879946928, 668096, 1296, -21472, 6576
1707879946939, 668107, 1280, -12576, 7488
1707879946949, 668118, -736, -4640, 8224
1707879946959, 668129, -2400, 2560, 8272
1707879946972, 668140, -2720, 10400, 6816
1707879946983, 668151, -6144, 15920, 5568
1707879946994, 668162, -7792, 20768, 2736
1707879947004, 668173, -8224, 24768, 544
1707879947014, 668184, -9888, 26176, -912
1707879947027, 668195, -9728, 25952, -1728
1707879947038, 668206, -9280, 24912, -1456
1707879947049, 668217, -8352, 22336, -640
1707879947057, 668228, -6384, 16848, 0
1707879947069, 668239, -4720, 11280, 1888
1707879947082, 668250, -3456, 5392, 4144
1707879947093, 668261, -2448, -2048, 7168
1707879947104, 668272, -1840, -7792, 8288
1707879947115, 668283, -1184, -14512, 9072
1707879947126, 668294, -1056, -22624, 10080
1707879947137, 668305, -336, -26880, 9280
1707879947148, 668316, -320, -28384, 7648
1707879947159, 668327, -400, -25776, 6832
1707879947170, 668338, -16, -21488, 6464
1707879947181, 668349, -256, -15008, 7184
1707879947192, 668360, -240, -10080, 6672
1707879947203, 668371, -1280, -5472, 6160
1707879947213, 668382, -2160, 848, 5968
1707879947223, 668393, -3728, 6512, 6160
1707879947236, 668404, -5232, 12592, 6096
1707879947247, 668415, -7376, 18896, 4800
1707879947258, 668426, -8384, 22064, 3136
1707879947269, 668437, -9024, 23536, 1248
1707879947280, 668448, -9104, 23712, -432
1707879947291, 668459, -8880, 22944, -960
1707879947302, 668470, -8320, 21248, -1072
1707879947313, 668481, -8160, 17152, -192
1707879947323, 668492, -5552, 12960, 480
1707879947333, 668503, -4208, 8336, 1936
1707879947346, 668514, -3824, 1376, 4096
1707879947357, 668525, -1712, -4912, 5760
1707879947368, 668536, -1040, -11632, 6864
