Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707879670950, 392117, 7376, 2672, -2224
1707879670961, 392128, 7328, 2624, -2192
1707879670972, 392139, 7280, 2640, -2496
1707879670982, 392150, 7312, 2768, -2832
1707879670992, 392161, 7200, 2912, -2736
1707879671005, 392172, 7008, 3008, -2528
1707879671016, 392183, 6960, 3040, -2208
1707879671027, 392194, 6896, 3088, -2000
1707879671037, 392205, 6896, 3136, -1856
1707879671047, 392216, 6768, 3056, -1792
1707879671059, 392227, 6816, 2928, -1952
1707879671069, 392238, 6720, 2576, -1728
1707879671082, 392249, 7056, 2432, -1744
1707879671092, 392260, 7024, 2400, -1840
1707879671102, 392271, 6992, 2480, -1824
1707879671114, 392282, 7008, 2624, -1776
1707879671124, 392293, 7056, 2880, -2112
1707879671137, 392304, 7168, 2912, -2240
1707879671147, 392315, 7216, 2960, -2480
1707879671157, 392326, 7440, 2944, -2640
1707879671170, 392337, 7392, 2928, -2640
1707879671180, 392348, 7392, 2816, -2560
1707879671190, 392359, 7472, 2880, -2736
1707879671202, 392370, 7520, 2896, -2832
1707879671212, 392381, 7552, 2944, -2752
1707879671225, 392392, 7696, 2960, -2784
1707879671236, 392403, 7568, 3056, -2848
1707879671247, 392414, 7584, 3232, -3264
1707879671257, 392425, 7472, 3296, -3120
1707879671267, 392436, 7760, 3264, -2912
1707879671280, 392447, 7776, 3248, -2656
1707879671291, 392458, 7792, 3120, -2800
1707879671301, 392469, 7920, 3152, -2704
1707879671311, 392480, 7872, 3296, -2896
1707879671324, 392491, 8048, 3472, -3232
1707879671335, 392502, 8000, 3616, -3680
1707879671346, 392513, 8128, 3968, -3680
1707879671357, 392524, 8144, 4240, -4240
1707879671367, 392535, 8128, 4624, -4736
1707879671377, 392546, 8064, 4784, -5264
1707879671390, 392557, 8032, 4592, -5680
1707879671401, 392568, 8032, 4272, -6032
1707879671412, 392579, 7968, 3968, -5872
1707879671423, 392590, 7584, 4224, -5504
1707879671434, 392601, 7216, 4752, -5504
1707879671445, 392612, 7264, 5344, -5456
1707879671456, 392623, 6528, 5712, -5040
1707879671467, 392634, 6304, 5584, -4512
1707879671478, 392645, 6128, 5104, -3888
1707879671489, 392656, 5536, 4144, -3232
1707879671499, 392667, 4832, 3520, -1248
1707879671509, 392678, 4496, 2736, -48
1707879671521, 392689, 4128, 2096, 1328
1707879671531, 392700, 3296, 1696, 3984
1707879671543, 392711, 2496, 1648, 5856
1707879671553, 392722, 1712, 1920, 7712
1707879671563, 392733, 800, 2208, 9568
1707879671575, 392744, 432, 1984, 11408
1707879671587, 392755, 400, 1744, 13664
1707879671597, 392766, 464, 1072, 16848
1707879671607, 392777, 480, 288, 18720
1707879671619, 392788, 1024, -192, 20672
1707879671631, 392799, 1088, 256, 21664
1707879671641, 392810, 3664, 896, 22592
1707879671654, 392821, 5536, 1264, 23216
1707879671665, 392832, 6160, 1168, 22816
1707879671676, 392843, 11056, 1984, 23040
1707879671687, 392854, 14368, 3232, 23600
1707879671698, 392865, 17328, 4544, 24016
1707879671709, 392876, 20688, 5872, 24160
1707879671720, 392887, 24960, 7456, 24400
1707879671731, 392898, 28400, 8560, 25024
1707879671742, 392909, 31696, 10176, 26480
