timestamp,magnitude,stepCount,totalStepCount
165028,9.61,0,0
168191,9.51,0,0
168286,9.49,0,0
168324,9.20,0,0
168475,8.71,0,0
168544,8.98,0,0
168635,9.08,0,0
168700,9.37,0,0
168780,9.89,0,0
168898,10.45,0,0
168952,10.10,0,0
169012,9.98,0,0
169079,9.67,0,0
3196,1.90,0,0
3507,3.78,0,0
3575,5.72,0,0
3615,7.62,0,0
3677,9.58,0,0
3725,9.62,0,0
3770,9.73,0,0
3890,9.71,0,0
3929,9.71,0,0
3999,9.62,0,0
4061,9.60,0,0
4120,9.49,0,0
4171,9.55,0,0
4219,9.57,0,0
4301,9.63,0,0
4331,9.60,0,0
4418,9.62,0,0
4470,9.62,0,0
4512,9.64,0,0
4555,9.68,0,0
4596,9.68,0,0
4697,9.55,0,0
4737,9.25,0,0
4780,9.12,0,0
4821,8.73,0,0
4883,8.74,0,0
4940,8.96,0,0
5012,9.34,0,0
5073,9.52,0,0
5115,10.06,0,0
5147,10.35,0,0
5234,10.22,0,0
5272,9.73,0,0
5324,10.72,0,0
5366,10.09,0,0
5417,9.83,0,0
5514,10.08,0,0
5552,10.67,0,0
5610,9.78,0,0
5638,10.54,0,0
5686,10.98,0,0
5757,11.23,0,0
5820,11.39,0,0
5861,11.46,0,0
5912,11.23,0,0
5953,10.69,0,0
6033,10.10,0,0
6075,9.51,0,0
6124,9.16,0,0
6164,8.89,0,0
6214,8.77,0,0
6273,8.82,0,0
6330,8.87,0,0
6369,8.99,0,0
6445,9.33,0,0
6475,9.55,0,0
6553,9.55,0,0
6593,9.73,0,0
6636,9.58,0,0
6677,9.49,2,2
6750,9.69,0,2
6834,9.49,0,2
6883,9.56,0,2
6928,9.71,0,2
6978,9.51,0,2
7026,9.39,0,2
7096,9.70,0,2
7136,9.67,0,2
7181,9.76,0,2
7218,9.85,0,2
7269,9.81,0,2
7296,9.69,0,2
7378,9.68,0,2
7419,9.55,0,2
7483,9.48,0,2
7522,9.38,0,2
7586,9.46,0,2
7654,9.34,0,2
7699,9.04,0,2
7749,9.22,0,2
7801,9.31,0,2
7850,9.39,0,2
7911,9.48,0,2
7959,9.76,0,2
8001,9.53,0,2
8054,9.39,0,2
8108,9.26,0,2
8188,9.14,0,2
8252,9.15,0,2
8306,9.36,0,2
8401,9.87,0,2
8490,10.40,0,2
8533,10.90,0,2
8594,11.15,0,2
8626,11.20,0,2
8672,10.73,0,2
8749,9.91,0,2
8826,9.08,0,2
8865,8.52,0,2
8921,8.57,0,2
8959,8.78,0,2
9028,8.75,0,2
9079,9.12,0,2
9132,9.77,0,2
9173,9.68,0,2
9219,9.58,0,2
9287,9.87,0,2
9338,9.95,0,2
9385,9.62,0,2
9444,9.76,0,2
9505,10.27,0,2
9583,11.13,0,2
9629,11.57,0,2
9679,11.50,0,2
9741,11.59,0,2
9827,11.41,0,2
9918,10.58,0,2
9959,10.01,0,2
10007,9.87,0,2
10058,9.43,0,2
10110,8.91,0,2
10179,9.10,0,2
10232,9.67,0,2
10289,9.73,0,2
10339,9.33,0,2
10367,9.15,0,2
10444,9.34,0,2
10493,9.02,0,2
10542,9.23,0,2
10583,9.75,0,2
10631,10.19,0,2
10699,9.93,0,2
10752,9.87,0,2
10790,9.96,0,2
10848,10.47,0,2
10908,10.94,0,2
10977,10.86,0,2
11026,10.83,0,2
11077,11.30,0,2
11128,11.16,0,2
11174,10.82,0,2
