Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707879782786, 503954, 5712, 4688, 2944
1707879782797, 503965, 5712, 4624, 2928
1707879782808, 503976, 5712, 4624, 2960
1707879782819, 503987, 5792, 4592, 3104
1707879782830, 503998, 5664, 4704, 3056
1707879782841, 504009, 5728, 4672, 3024
1707879782852, 504020, 5712, 4688, 2976
1707879782863, 504031, 5696, 4672, 2960
1707879782874, 504042, 5760, 4656, 2992
1707879782885, 504053, 5680, 4608, 2928
1707879782896, 504064, 5696, 4640, 2928
1707879782907, 504075, 5712, 4640, 2896
1707879782918, 504086, 5856, 4592, 2944
1707879782929, 504097, 5680, 4624, 2912
1707879782940, 504108, 5680, 4640, 2864
1707879782951, 504119, 5744, 4624, 2992
1707879782962, 504130, 5696, 4608, 3024
1707879782973, 504141, 5728, 4688, 3040
1707879782984, 504152, 5744, 4640, 2992
1707879782995, 504163, 5712, 4640, 2960
1707879783006, 504174, 5744, 4656, 2944
1707879783017, 504185, 5744, 4736, 2992
1707879783028, 504196, 5712, 4768, 2976
1707879783039, 504207, 5632, 4752, 3040
1707879783050, 504218, 5632, 4720, 3136
1707879783061, 504229, 5632, 4736, 3136
1707879783072, 504240, 5632, 4752, 3152
1707879783083, 504251, 5648, 4816, 3136
1707879783094, 504262, 5616, 4864, 3168
1707879783105, 504273, 5600, 4832, 3056
1707879783116, 504284, 5648, 4896, 3056
1707879783127, 504295, 5648, 4896, 3248
1707879783138, 504306, 5744, 4832, 3120
1707879783149, 504317, 5664, 4848, 3088
1707879783160, 504328, 5648, 4864, 2912
1707879783171, 504339, 5600, 4768, 3088
1707879783182, 504350, 5696, 4784, 3120
1707879783193, 504361, 5648, 4736, 3056
1707879783204, 504372, 5664, 4704, 2976
1707879783215, 504383, 5632, 4688, 2992
1707879783226, 504394, 5632, 4688, 2928
1707879783237, 504405, 5648, 4704, 2992
1707879783248, 504416, 5632, 4752, 3056
1707879783259, 504427, 5616, 4688, 3024
1707879783270, 504438, 5664, 4656, 3056
1707879783281, 504449, 5648, 4640, 3328
1707879783292, 504460, 5664, 4496, 3072
1707879783303, 504471, 5648, 4560, 2960
1707879783314, 504482, 5728, 4576, 3168
1707879783325, 504493, 5680, 4640, 3024
1707879783336, 504504, 5744, 4624, 2928
1707879783347, 504515, 5664, 4576, 3168
1707879783358, 504526, 5664, 4640, 3120
1707879783369, 504537, 5680, 4576, 3040
1707879783380, 504548, 5648, 4464, 3056
1707879783391, 504559, 5712, 4448, 2976
1707879783402, 504570, 5712, 4464, 3088
1707879783413, 504581, 5760, 4576, 3056
1707879783424, 504592, 5696, 4576, 3072
1707879783435, 504603, 5712, 4624, 3088
1707879783446, 504614, 5776, 4688, 3120
1707879783457, 504625, 5664, 4704, 3120
1707879783469, 504636, 5664, 4736, 2928
1707879783477, 504647, 5728, 4752, 3056
1707879783490, 504658, 5696, 4752, 2912
1707879783501, 504669, 5712, 4864, 2864
1707879783512, 504680, 5696, 4752, 2928
1707879783523, 504691, 5696, 4784, 2944
1707879783534, 504702, 5504, 4816, 2896
1707879783545, 504713, 5664, 4800, 2976
1707879783556, 504724, 5648, 4816, 2928
1707879783567, 504735, 5648, 4800, 2928
1707879783578, 504746, 5696, 4784, 3024
1707879783589, 504757, 5696, 4720, 3008
1707879783600, 504768, 5760, 4736, 2928
1707879783611, 504779, 5744, 4688, 3008
1707879783622, 504790, 5744, 4672, 3008
1707879783633, 504801, 5792, 4752, 2864
1707879783644, 504812, 5664, 4768, 2976
1707879783655, 504823, 5664, 4720, 2864
1707879783666, 504834, 5568, 4640, 2896
1707879783677, 504845, 5696, 4704, 2896
1707879783688, 504856, 5744, 4688, 3216
1707879783699, 504867, 5728, 4624, 3072
1707879783710, 504878, 5712, 4640, 3072
1707879783721, 504889, 5616, 4768, 3056
1707879783732, 504900, 5600, 4784, 3120
1707879783743, 504911, 5584, 4704, 3152
1707879783754, 504922, 5616, 4688, 3088
1707879783765, 504933, 5616, 4560, 3136
1707879783776, 504944, 5680, 4560, 3072
1707879783787, 504955, 5872, 4656, 2944
1707879783798, 504966, 5680, 4560, 2912
1707879783809, 504977, 5696, 4608, 2864
1707879783820, 504988, 5840, 4608, 3072
1707879783831, 504999, 5616, 4560, 3072
1707879783842, 505010, 5664, 4624, 3040
1707879783853, 505021, 5744, 4528, 3056
1707879783864, 505032, 5648, 4512, 3136
1707879783875, 505043, 5712, 4608, 3024
1707879783886, 505054, 5696, 4592, 2992
1707879783897, 505065, 5664, 4624, 2960
1707879783908, 505076, 5792, 4592, 3136
1707879783919, 505087, 5712, 4608, 3024
1707879783930, 505098, 5728, 4592, 2976
1707879783941, 505109, 5680, 4720, 2880
1707879783952, 505120, 5664, 4752, 3088
1707879783963, 505131, 5728, 4672, 3040
1707879783974, 505142, 5712, 4624, 2928
1707879783985, 505153, 5680, 4656, 2992
1707879783996, 505164, 5696, 4640, 2880
1707879784007, 505175, 5840, 4672, 3008
1707879784018, 505186, 5696, 4736, 2912
1707879784029, 505197, 5664, 4864, 3152
1707879784040, 505208, 5680, 4832, 3008
1707879784051, 505219, 5680, 4848, 2928
1707879784062, 505230, 5712, 4688, 2944
1707879784073, 505241, 5728, 4640, 3008
1707879784084, 505252, 5680, 4688, 3056
1707879784095, 505263, 5728, 4752, 3008
1707879784106, 505274, 5648, 4736, 3008
1707879784117, 505285, 5680, 4816, 2960
1707879784128, 505296, 5680, 4896, 2976
1707879784139, 505307, 5664, 4864, 3008
1707879784150, 505318, 5632, 4768, 3040
1707879784161, 505329, 5472, 4720, 3104
1707879784172, 505340, 5696, 4640, 2992
1707879784183, 505351, 5728, 4640, 3136
1707879784194, 505362, 5744, 4736, 3136
1707879784205, 505373, 5616, 4720, 3024
1707879784216, 505384, 5696, 4832, 3008
1707879784227, 505395, 5744, 4784, 3040
1707879784238, 505406, 5584, 4736, 2992
1707879784249, 505417, 5616, 4688, 3072
1707879784260, 505428, 5696, 4672, 2944
1707879784271, 505439, 5712, 4624, 2992
1707879784282, 505450, 5760, 4560, 2944
1707879784293, 505461, 5744, 4416, 2992
1707879784304, 505472, 5696, 4512, 3136
1707879784315, 505483, 5840, 4576, 3056
1707879784326, 505494, 5696, 4640, 3056
1707879784337, 505505, 5664, 4640, 2992
1707879784348, 505516, 5552, 4672, 2960
1707879784359, 505527, 5744, 4624, 2928
1707879784370, 505538, 5792, 4608, 2800
1707879784381, 505549, 5664, 4624, 2992
1707879784392, 505560, 5680, 4656, 3120
1707879784403, 505571, 5648, 4672, 3056
1707879784414, 505582, 5600, 4736, 3136
1707879784425, 505593, 5616, 4784, 3136
1707879784436, 505604, 5696, 4752, 3184
1707879784447, 505615, 5696, 4752, 3072
1707879784458, 505626, 5680, 4784, 3040
1707879784469, 505637, 5696, 4720, 2880
1707879784480, 505648, 5648, 4752, 3024
1707879784491, 505659, 5632, 4720, 3056
1707879784502, 505670, 5600, 4704, 3040
1707879784513, 505681, 5632, 4688, 3040
1707879784524, 505692, 5632, 4720, 3136
1707879784535, 505703, 5568, 4736, 3072
1707879784546, 505714, 5664, 4752, 2960
1707879784557, 505725, 5712, 4768, 3136
1707879784568, 505736, 5760, 4720, 3136
1707879784579, 505747, 5728, 4768, 3088
1707879784590, 505758, 5664, 4656, 2800
1707879784601, 505769, 5680, 4672, 3072
1707879784612, 505780, 5616, 4672, 3040
1707879784623, 505791, 5696, 4752, 2944
1707879784634, 505802, 5664, 4752, 3040
1707879784645, 505813, 5696, 4768, 3040
1707879784656, 505824, 5664, 4736, 3088
1707879784667, 505835, 5680, 4608, 2992
1707879784678, 505846, 5712, 4592, 3040
1707879784689, 505857, 5552, 4592, 3088
1707879784700, 505868, 5696, 4576, 3008
1707879784711, 505879, 5696, 4624, 3024
1707879784722, 505890, 5664, 4736, 3072
1707879784733, 505901, 5696, 4720, 3120
1707879784744, 505912, 5664, 4800, 3088
1707879784755, 505923, 5776, 4736, 3008
1707879784766, 505934, 5648, 4704, 3024
1707879784777, 505945, 5680, 4544, 2896
1707879784788, 505956, 5680, 4592, 3024
1707879784799, 505967, 5696, 4576, 2976
1707879784810, 505978, 5744, 4640, 3280
1707879784821, 505989, 5696, 4672, 3072
1707879784832, 506000, 5728, 4784, 3024
1707879784843, 506011, 5680, 4800, 2928
1707879784854, 506022, 5664, 4736, 3024
1707879784865, 506033, 5648, 4704, 2912
1707879784876, 506044, 5568, 4656, 2880
1707879784887, 506055, 5712, 4624, 2960
1707879784898, 506066, 5696, 4608, 2832
1707879784909, 506077, 5760, 4640, 2960
1707879784920, 506088, 5728, 4624, 2960
1707879784931, 506099, 5680, 4784, 2992
1707879784942, 506110, 5664, 4768, 3040
1707879784953, 506121, 5712, 4832, 2992
1707879784964, 506132, 5648, 4784, 3040
1707879784975, 506143, 5696, 4736, 2960
1707879784986, 506154, 5648, 4640, 3040
1707879784997, 506165, 5664, 4672, 2992
1707879785008, 506176, 5712, 4592, 2976
1707879785019, 506187, 5712, 4608, 3088
1707879785030, 506198, 5776, 4656, 3008
1707879785041, 506209, 5680, 4752, 2928
1707879785052, 506220, 5760, 4704, 2864
1707879785063, 506231, 5776, 4688, 2944
1707879785074, 506242, 5712, 4672, 3056
1707879785085, 506253, 5664, 4656, 2992
1707879785096, 506264, 5584, 4672, 3040
1707879785107, 506275, 5616, 4704, 3152
1707879785118, 506286, 5680, 4608, 3008
1707879785129, 506297, 5664, 4688, 3024
1707879785140, 506308, 5680, 4736, 2960
1707879785151, 506319, 5712, 4784, 2736
1707879785162, 506330, 5712, 4608, 2896
1707879785173, 506341, 5680, 4656, 3008
1707879785184, 506352, 5696, 4624, 3024
1707879785195, 506363, 5680, 4656, 2944
1707879785206, 506374, 5664, 4736, 3008
1707879785217, 506385, 5616, 4688, 3056
1707879785228, 506396, 5712, 4688, 3040
1707879785239, 506407, 5696, 4704, 2896
1707879785250, 506418, 5648, 4736, 3056
1707879785261, 506429, 5664, 4656, 2960
1707879785272, 506440, 5696, 4672, 3136
1707879785283, 506451, 5632, 4624, 3008
1707879785294, 506462, 5712, 4672, 3088
1707879785305, 506473, 5696, 4656, 2960
1707879785316, 506484, 5664, 4624, 2992
1707879785327, 506495, 5712, 4704, 3168
1707879785338, 506506, 5568, 4720, 3008
1707879785349, 506517, 5616, 4640, 2992
1707879785360, 506528, 5632, 4656, 2960
1707879785371, 506539, 5680, 4704, 3024
1707879785382, 506550, 5696, 4624, 2992
1707879785393, 506561, 5664, 4656, 2960
1707879785404, 506572, 5696, 4624, 3008
1707879785415, 506583, 5648, 4672, 2896
1707879785426, 506594, 5680, 4688, 2944
1707879785437, 506605, 5744, 4720, 3008
1707879785448, 506616, 5712, 4704, 2992
1707879785459, 506627, 5824, 4544, 2816
1707879785470, 506638, 5744, 4608, 3120
1707879785481, 506649, 5728, 4624, 3088
1707879785492, 506660, 5664, 4560, 2992
1707879785503, 506671, 5680, 4656, 3040
1707879785514, 506682, 5712, 4720, 2976
1707879785525, 506693, 5648, 4800, 2976
1707879785536, 506704, 5648, 4816, 2960
1707879785547, 506715, 5744, 4832, 2976
1707879785558, 506726, 5840, 4800, 2912
1707879785569, 506737, 5728, 4688, 2976
1707879785580, 506748, 5696, 4672, 3008
1707879785591, 506759, 5728, 4656, 2960
1707879785602, 506770, 5664, 4720, 2944
1707879785613, 506781, 5712, 4736, 2976
1707879785624, 506792, 5696, 4768, 2960
1707879785635, 506803, 5680, 4864, 2960
1707879785646, 506814, 5648, 4880, 2976
1707879785657, 506825, 5648, 4800, 2992
1707879785668, 506836, 5712, 4688, 2960
1707879785679, 506847, 5696, 4576, 3168
1707879785690, 506858, 5696, 4720, 2960
1707879785701, 506869, 5696, 4720, 2880
1707879785712, 506880, 5648, 4624, 2944
1707879785723, 506891, 5680, 4656, 3088
1707879785734, 506902, 5680, 4624, 3056
1707879785745, 506913, 5632, 4704, 3072
1707879785756, 506924, 5712, 4688, 3024
1707879785767, 506935, 5712, 4656, 3072
1707879785778, 506946, 5648, 4736, 3072
1707879785789, 506957, 5712, 4752, 3056
1707879785800, 506968, 5632, 4704, 2736
1707879785811, 506979, 5520, 4688, 3056
1707879785822, 506990, 5648, 4608, 2976
1707879785833, 507001, 5696, 4688, 2992
1707879785844, 507012, 5696, 4608, 2976
1707879785855, 507023, 5680, 4640, 3008
1707879785866, 507034, 5744, 4720, 3008
1707879785877, 507045, 5712, 4640, 2976
1707879785888, 507056, 5696, 4608, 3056
1707879785899, 507067, 5648, 4656, 3024
1707879785910, 507078, 5664, 4640, 2976
1707879785921, 507089, 5712, 4624, 3040
1707879785932, 507100, 5680, 4640, 2928
1707879785943, 507111, 5696, 4672, 2976
1707879785954, 507122, 5728, 4656, 2800
1707879785965, 507133, 5616, 4640, 2944
1707879785976, 507144, 5728, 4640, 2912
1707879785987, 507155, 5712, 4672, 2912
1707879785998, 507166, 5856, 4688, 2960
1707879786009, 507177, 5712, 4752, 2960
1707879786020, 507188, 5648, 4752, 2752
1707879786031, 507199, 5680, 4768, 3040
1707879786042, 507210, 5648, 4720, 2976
1707879786053, 507221, 5712, 4640, 2912
1707879786064, 507232, 5680, 4656, 2928
1707879786075, 507243, 5632, 4640, 2960
1707879786086, 507254, 5680, 4736, 2912
1707879786097, 507265, 5632, 4736, 2944
1707879786108, 507276, 5664, 4736, 3056
1707879786119, 507287, 5776, 4752, 2928
1707879786130, 507298, 5696, 4752, 2912
1707879786141, 507309, 5664, 4640, 2896
1707879786152, 507320, 5632, 4656, 3024
1707879786163, 507331, 5680, 4624, 3056
1707879786174, 507342, 5696, 4736, 3008
1707879786185, 507353, 5664, 4656, 2992
1707879786196, 507364, 5648, 4656, 2992
1707879786207, 507375, 5728, 4672, 2880
1707879786218, 507386, 5648, 4720, 2976
1707879786229, 507397, 5632, 4752, 2912
1707879786240, 507408, 5696, 4672, 2976
1707879786251, 507419, 5728, 4592, 2960
1707879786262, 507430, 5696, 4640, 2944
1707879786273, 507441, 5728, 4608, 2944
1707879786284, 507452, 5680, 4608, 3008
1707879786295, 507463, 5680, 4624, 3024
1707879786306, 507474, 5648, 4608, 3024
1707879786317, 507485, 5616, 4688, 2944
1707879786328, 507496, 5648, 4704, 3040
1707879786339, 507507, 5744, 4768, 3040
1707879786350, 507518, 5696, 4720, 3040
1707879786361, 507529, 5680, 4672, 2912
1707879786372, 507540, 5696, 4592, 3072
1707879786383, 507551, 5712, 4608, 3104
1707879786394, 507562, 5536, 4640, 3040
1707879786405, 507573, 5632, 4752, 3024
1707879786416, 507584, 5712, 4720, 3088
1707879786427, 507595, 5712, 4672, 3056
1707879786438, 507606, 5712, 4688, 2992
1707879786449, 507617, 5680, 4672, 2976
1707879786460, 507628, 5712, 4640, 3008
1707879786471, 507639, 5632, 4704, 3120
1707879786482, 507650, 5600, 4784, 3216
1707879786493, 507661, 5712, 4752, 3120
1707879786504, 507672, 5600, 4816, 3152
1707879786515, 507683, 5600, 4768, 2960
1707879786526, 507694, 5472, 4832, 2960
1707879786537, 507705, 5648, 4832, 2928
1707879786548, 507716, 5680, 4784, 3232
1707879786559, 507727, 5632, 4800, 2960
1707879786570, 507738, 5632, 4784, 2944
1707879786581, 507749, 5664, 4672, 3024
1707879786592, 507760, 5632, 4752, 3040
1707879786603, 507771, 5632, 4752, 3040
1707879786614, 507782, 5744, 4704, 3024
1707879786625, 507793, 5728, 4704, 3024
1707879786636, 507804, 5712, 4720, 2944
1707879786647, 507815, 5616, 4688, 3024
1707879786658, 507826, 5632, 4672, 3024
1707879786669, 507837, 5648, 4688, 3072
1707879786680, 507848, 5680, 4672, 2944
1707879786691, 507859, 5728, 4656, 3024
1707879786702, 507870, 5696, 4736, 3152
1707879786713, 507881, 5632, 4640, 3072
1707879786724, 507892, 5680, 4640, 3088
1707879786735, 507903, 5632, 4608, 3152
1707879786746, 507914, 5696, 4656, 3088
1707879786757, 507925, 5728, 4624, 2976
1707879786768, 507936, 5680, 4592, 2896
1707879786779, 507947, 5680, 4656, 3008
