Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707879581476, 302643, -240, 7584, 816
1707879581487, 302654, -192, 7568, 672
1707879581498, 302665, -192, 7600, 928
1707879581508, 302676, -240, 7680, 1120
1707879581518, 302687, -192, 7680, 1136
1707879581530, 302698, -240, 7600, 1056
1707879581540, 302709, -208, 7744, 1296
1707879581552, 302720, -272, 7776, 1344
1707879581562, 302731, -224, 7792, 1152
1707879581574, 302742, -272, 7808, 1152
1707879581584, 302753, -272, 7808, 1136
1707879581596, 302764, -240, 7808, 1136
1707879581606, 302775, -224, 7760, 1072
1707879581618, 302786, -176, 7744, 1056
1707879581628, 302797, -256, 7776, 1184
1707879581641, 302808, -336, 7840, 944
1707879581651, 302819, -272, 7856, 1040
1707879581661, 302830, -208, 7744, 1088
1707879581673, 302841, -160, 7712, 1232
1707879581683, 302852, -304, 7696, 1216
1707879581695, 302863, -176, 7728, 1136
1707879581705, 302874, -224, 7664, 960
1707879581718, 302885, -112, 7680, 784
1707879581729, 302896, -96, 7680, 864
1707879581740, 302907, -96, 7648, 1216
1707879581751, 302918, -80, 7600, 1072
1707879581762, 302929, -48, 7648, 1072
1707879581773, 302940, -128, 7744, 912
1707879581784, 302951, -128, 7824, 752
1707879581795, 302962, -176, 7872, 736
1707879581806, 302973, -128, 7744, 736
1707879581817, 302984, -32, 7664, 768
1707879581828, 302995, -64, 7632, 800
1707879581839, 303006, -64, 7648, 704
1707879581850, 303017, -96, 7680, 720
1707879581861, 303028, -112, 7600, 960
1707879581872, 303039, -48, 7568, 784
1707879581883, 303050, -128, 7600, 736
1707879581894, 303061, -144, 7504, 944
1707879581905, 303072, -128, 7488, 976
1707879581915, 303083, -160, 7504, 1104
1707879581925, 303094, -240, 7568, 1328
1707879581937, 303105, -272, 7632, 1136
1707879581947, 303116, -256, 7696, 1168
1707879581959, 303127, -224, 7712, 1216
1707879581969, 303138, -272, 7760, 1136
1707879581981, 303149, -304, 7776, 1120
1707879581991, 303160, -256, 7760, 1104
1707879582003, 303171, -336, 7664, 1248
1707879582013, 303182, -256, 7600, 1120
1707879582025, 303193, -384, 7584, 1184
