Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707879620942, 342111, -1424, 7040, 2816
1707879620953, 342122, -1456, 7072, 2640
1707879620963, 342133, -1376, 7200, 2656
1707879620975, 342144, -1360, 7328, 2736
1707879620987, 342155, -1424, 7376, 2416
1707879620997, 342166, -1424, 7344, 2480
1707879621007, 342177, -1408, 7136, 2544
1707879621019, 342188, -1312, 7088, 2496
1707879621031, 342199, -1328, 7024, 2576
1707879621041, 342210, -1328, 7008, 2496
1707879621051, 342221, -1328, 7040, 2576
1707879621063, 342232, -1360, 7152, 2512
1707879621073, 342243, -1280, 7280, 2416
1707879621085, 342254, -1376, 7344, 2464
1707879621095, 342265, -1328, 7232, 2528
1707879621107, 342276, -1312, 7008, 2496
1707879621117, 342287, -1360, 7056, 2512
1707879621129, 342298, -1392, 7040, 2592
1707879621139, 342309, -1392, 7216, 2672
1707879621151, 342320, -1456, 7184, 2640
1707879621161, 342331, -1456, 7152, 2496
1707879621173, 342342, -1392, 7216, 2688
1707879621183, 342353, -1408, 7280, 2672
1707879621195, 342364, -1376, 7344, 2848
1707879621205, 342375, -1376, 7184, 2704
1707879621217, 342386, -1360, 7152, 2736
1707879621227, 342397, -1456, 7136, 2704
1707879621239, 342408, -1424, 7168, 2688
1707879621251, 342419, -1424, 7184, 2592
1707879621261, 342430, -1536, 7216, 2608
1707879621271, 342441, -1504, 7312, 2544
1707879621284, 342452, -1536, 7328, 2512
1707879621295, 342463, -1520, 7312, 2336
1707879621305, 342474, -1552, 7248, 2208
1707879621315, 342485, -1584, 7312, 2352
1707879621327, 342496, -1648, 7408, 2192
1707879621337, 342507, -1840, 7472, 2160
1707879621349, 342518, -2048, 7792, 1984
1707879621359, 342529, -2016, 8128, 1920
1707879621371, 342540, -2000, 8192, 1776
1707879621381, 342551, -2016, 8128, 1952
1707879621393, 342562, -2000, 8064, 2016
1707879621403, 342573, -2048, 7984, 2096
1707879621415, 342584, -2096, 7856, 2432
1707879621425, 342595, -2144, 7776, 2800
1707879621437, 342606, -2144, 7584, 3088
1707879621447, 342617, -2224, 7344, 3344
1707879621459, 342628, -2000, 7072, 3504
1707879621471, 342639, -1952, 6832, 3696
1707879621481, 342650, -1888, 6896, 3904
1707879621491, 342661, -2016, 6752, 4208
1707879621503, 342672, -2032, 6464, 4512
1707879621513, 342683, -2128, 6160, 5312
1707879621525, 342694, -2000, 5808, 6000
1707879621535, 342705, -2032, 5072, 7024
1707879621547, 342716, -1936, 4512, 8064
1707879621557, 342727, -1648, 3728, 8992
1707879621569, 342738, -1392, 2800, 11680
1707879621582, 342749, -1184, 2416, 14208
1707879621591, 342760, -832, 2128, 15744
1707879621601, 342771, -720, 192, 18832
1707879621613, 342782, 1504, -2400, 22640
1707879621625, 342793, 2784, -5232, 27888
1707879621635, 342804, 3104, -7168, 32000
1707879621647, 342815, 7280, -6624, 32432
1707879621657, 342826, 9584, -4816, 31264
1707879621671, 342837, 10080, -2208, 29648
1707879621680, 342848, 13232, -928, 28144
1707879621690, 342859, 14912, -704, 26304
1707879621700, 342870, 17088, 96, 24992
1707879621712, 342881, 18416, 1424, 24384
1707879621723, 342892, 20064, 3296, 24496
1707879621734, 342903, 21456, 4704, 24048
1707879621746, 342914, 23152, 6656, 22784
1707879621756, 342925, 25216, 8784, 20432
1707879621769, 342936, 26592, 10336, 18992
1707879621779, 342947, 27648, 11936, 18352
1707879621789, 342958, 27968, 13072, 18144
1707879621802, 342969, 28896, 13744, 18048
1707879621812, 342980, 29232, 14656, 17456
1707879621822, 342991, 29296, 16128, 16016
1707879621835, 343002, 28832, 16736, 13792
1707879621847, 343013, 28320, 17072, 11312
1707879621856, 343024, 28224, 16672, 9968
1707879621866, 343035, 26464, 16352, 10112
1707879621879, 343046, 25792, 15120, 10960
1707879621890, 343057, 25488, 14240, 11616
1707879621901, 343068, 25152, 13936, 11920
1707879621912, 343079, 24832, 13776, 12240
1707879621923, 343090, 24720, 13872, 12576
1707879621935, 343101, 24592, 14160, 12944
1707879621945, 343112, 24432, 15024, 11664
1707879621955, 343123, 23904, 15888, 9856
1707879621965, 343134, 23312, 16416, 8592
1707879621977, 343145, 23264, 17600, 7968
1707879621988, 343156, 21728, 18400, 7216
1707879621999, 343167, 21184, 19248, 6176
1707879622009, 343178, 21056, 19856, 4000
1707879622021, 343189, 20128, 20208, 880
1707879622031, 343200, 19072, 19952, -2672
1707879622044, 343211, 18784, 18624, -5344
1707879622055, 343222, 16672, 17104, -6352
1707879622066, 343233, 15536, 15440, -6752
1707879622078, 343244, 14528, 14288, -7280
1707879622088, 343255, 13600, 13488, -7344
1707879622098, 343266, 12448, 12880, -7248
1707879622108, 343277, 11424, 12048, -7472
1707879622121, 343288, 10528, 11792, -7232
1707879622131, 343299, 9472, 9968, -8496
1707879622141, 343310, 5792, 10752, -8352
1707879622151, 343321, 7552, 8448, -7968
1707879622163, 343332, 7488, 9120, -7232
1707879622173, 343343, 5760, 9568, -6608
1707879622185, 343354, 4976, 10080, -5264
1707879622197, 343365, 4624, 9552, -4272
1707879622207, 343376, 3072, 8864, -4016
1707879622217, 343387, 2320, 8144, -4320
1707879622229, 343398, 2336, 7728, -4192
1707879622240, 343409, 1056, 8112, -2880
1707879622251, 343420, 464, 8016, -2272
1707879622261, 343431, 176, 8320, -1856
1707879622273, 343442, -176, 8608, -1328
1707879622283, 343453, -416, 8480, -992
1707879622295, 343464, -480, 7632, -912
1707879622305, 343475, -640, 4560, 608
1707879622317, 343486, -544, 7472, 336
1707879622329, 343497, -1520, 8064, -224
1707879622339, 343508, -1920, 8304, -1008
1707879622351, 343519, -2016, 9600, -1792
1707879622361, 343530, -2496, 9840, -1408
1707879622371, 343541, -2592, 9424, -912
1707879622383, 343552, -2544, 8704, 32
1707879622393, 343563, -2544, 8112, 784
1707879622405, 343574, -2672, 7616, 1648
1707879622415, 343585, -2928, 7424, 1968
1707879622427, 343596, -3008, 7312, 1904
1707879622437, 343607, -3008, 7312, 1472
1707879622449, 343618, -3120, 7456, 1040
1707879622459, 343629, -3184, 7632, 544
1707879622471, 343640, -3200, 7696, 832
1707879622481, 343651, -3056, 7184, 480
1707879622493, 343662, -2848, 6480, 336
1707879622503, 343673, -2688, 6464, -176
1707879622515, 343684, -2608, 6736, -128
1707879622525, 343695, -2800, 7264, 64
1707879622537, 343706, -2832, 7744, 160
1707879622547, 343717, -2864, 7792, 96
1707879622559, 343728, -2768, 7584, -288
1707879622571, 343739, -2672, 7168, -320
1707879622581, 343750, -2480, 7056, -752
1707879622591, 343761, -2416, 7424, -672
1707879622603, 343772, -2496, 7552, -672
1707879622615, 343783, -2512, 7584, -800
1707879622625, 343794, -2576, 7648, -928
1707879622635, 343805, -2832, 7520, -784
1707879622647, 343816, -2816, 7696, -640
1707879622658, 343827, -2928, 7248, -272
1707879622669, 343838, -3024, 6880, -352
1707879622679, 343849, -3056, 6064, -416
1707879622691, 343860, -2880, 5456, 176
1707879622701, 343871, -3376, 5376, 480
1707879622713, 343882, -3520, 5360, 1040
1707879622723, 343893, -3664, 5344, 1152
1707879622735, 343904, -3456, 5072, 1264
1707879622745, 343915, -3808, 5664, 2512
1707879622757, 343926, -3760, 6416, 1808
1707879622767, 343937, -3872, 6368, 1840
1707879622779, 343948, -3904, 5168, 976
1707879622791, 343959, -3984, 7344, 1280
1707879622801, 343970, -4128, 6912, 1344
1707879622813, 343981, -3984, 6592, 1184
1707879622823, 343992, -3904, 7136, 1168
1707879622835, 344003, -3824, 6144, 1024
1707879622845, 344014, -3648, 5600, 1200
1707879622855, 344025, -3632, 5392, 1536
1707879622867, 344036, -3616, 5552, 1216
1707879622877, 344047, -3568, 6000, 1104
1707879622889, 344058, -3776, 6560, 1056
1707879622901, 344069, -3888, 7168, 1104
1707879622911, 344080, -4016, 7520, 848
1707879622923, 344091, -4048, 7408, 1024
1707879622933, 344102, -3968, 6816, 1712
1707879622945, 344113, -3728, 6320, 1408
1707879622955, 344124, -3632, 6016, 1424
1707879622967, 344135, -3600, 5904, 1424
1707879622977, 344146, -3568, 5728, 1280
1707879622987, 344157, -3488, 5808, 1120
1707879622999, 344168, -3600, 6160, 992
1707879623011, 344179, -3552, 6480, 1040
1707879623021, 344190, -3632, 6736, 1168
1707879623033, 344201, -3648, 7056, 1344
1707879623043, 344212, -3696, 6976, 1392
1707879623055, 344223, -3664, 6976, 1456
1707879623065, 344234, -3648, 6688, 1568
1707879623075, 344245, -3456, 6416, 1760
1707879623087, 344256, -3296, 6128, 1760
1707879623099, 344267, -3280, 6016, 1648
1707879623109, 344278, -3328, 6320, 1408
1707879623121, 344289, -3472, 6720, 1216
1707879623131, 344300, -3392, 7024, 1120
1707879623141, 344311, -3504, 7088, 1248
1707879623153, 344322, -3440, 7024, 1152
1707879623163, 344333, -3312, 6880, 1264
1707879623175, 344344, -3296, 6560, 1072
1707879623185, 344355, -3328, 6384, 1296
1707879623197, 344366, -3296, 6288, 1008
1707879623207, 344377, -3312, 6192, 880
1707879623220, 344388, -3248, 6080, 944
1707879623229, 344399, -3344, 5984, 912
1707879623241, 344410, -3376, 6528, 944
1707879623251, 344421, -3488, 6448, 1376
1707879623263, 344432, -3488, 6928, 1520
1707879623274, 344443, -3664, 7200, 1808
1707879623285, 344454, -3568, 7440, 1568
1707879623295, 344465, -3568, 7168, 1680
1707879623307, 344476, -3360, 6608, 1440
1707879623319, 344487, -3328, 6672, 1328
1707879623329, 344498, -3408, 7328, 1072
1707879623339, 344509, -3376, 7344, 864
1707879623351, 344520, -3440, 7088, 752
1707879623361, 344531, -3376, 7104, 800
1707879623373, 344542, -3360, 6992, 944
1707879623383, 344553, -3296, 6544, 1184
1707879623395, 344564, -3296, 6816, 1152
1707879623405, 344575, -3424, 7232, 1056
1707879623417, 344586, -3312, 6912, 896
