Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707880121012, 842182, -7632, 80, -1760
1707880121023, 842193, -7568, 48, -1664
1707880121034, 842204, -7680, 96, -1568
1707880121045, 842215, -7616, 80, -1632
1707880121055, 842226, -7664, 144, -1600
1707880121066, 842237, -7632, 128, -1680
1707880121077, 842248, -7552, 112, -1616
1707880121087, 842259, -7568, 0, -1744
1707880121099, 842270, -7440, -16, -1792
1707880121109, 842281, -7472, -80, -1776
1707880121121, 842292, -7360, -80, -1792
1707880121131, 842303, -7584, -64, -1808
1707880121143, 842314, -7296, -64, -1824
1707880121153, 842325, -7376, 16, -1840
1707880121165, 842336, -7328, -48, -1616
1707880121175, 842347, -7360, 32, -1696
1707880121188, 842358, -7296, 32, -1840
1707880121199, 842369, -7344, 96, -1824
1707880121210, 842380, -7344, 32, -1888
1707880121220, 842391, -7488, 272, -2144
1707880121230, 842402, -7504, 400, -1936
1707880121242, 842413, -7568, 528, -2048
1707880121252, 842424, -7536, 560, -1984
1707880121264, 842435, -7648, 528, -1760
1707880121274, 842446, -7664, 400, -1632
1707880121286, 842457, -7664, 272, -1824
1707880121296, 842468, -7584, 176, -1760
1707880121309, 842479, -7632, 192, -1728
1707880121318, 842490, -7632, 304, -1632
1707880121331, 842501, -7712, 352, -1584
1707880121340, 842512, -7632, 304, -1920
1707880121352, 842523, -7648, 208, -1760
1707880121362, 842534, -7360, 304, -1744
1707880121374, 842545, -7264, 752, -1360
1707880121384, 842556, -7104, 1328, -1408
1707880121396, 842567, -5760, 1616, -1568
1707880121406, 842578, -4624, 1104, -3424
1707880121419, 842589, -3264, 16, -6880
1707880121429, 842600, -1888, -1248, -9792
1707880121439, 842611, -336, -2160, -13088
1707880121451, 842622, 736, -2000, -15184
1707880121461, 842633, 1648, -1440, -16320
1707880121473, 842644, 2752, -944, -15696
1707880121483, 842655, 3792, -720, -14320
1707880121495, 842666, 4800, -1376, -12368
1707880121505, 842677, 4976, -2128, -9664
1707880121517, 842688, 6448, -2496, -7792
1707880121527, 842699, 6944, -2496, -6240
1707880121539, 842710, 7136, -1920, -4864
1707880121549, 842721, 7696, -992, -3824
1707880121562, 842732, 7712, 48, -1856
1707880121573, 842743, 7712, 960, -1184
1707880121584, 842754, 7984, 1712, -544
1707880121595, 842765, 8128, 2288, 736
