Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707879898591, 619762, -4480, 6032, 1328
1707879898601, 619773, -4448, 6096, 1168
1707879898613, 619784, -4400, 6080, 1328
1707879898623, 619795, -4416, 6064, 1328
1707879898635, 619806, -4368, 6032, 1280
1707879898645, 619817, -4288, 5984, 1344
1707879898657, 619828, -4368, 6000, 1408
1707879898667, 619839, -4416, 6128, 1248
1707879898679, 619850, -4416, 6176, 1296
1707879898689, 619861, -4416, 6144, 1232
1707879898701, 619872, -4384, 6096, 1280
1707879898713, 619883, -4368, 6096, 1328
1707879898723, 619894, -4368, 6128, 1296
1707879898733, 619905, -4384, 6160, 1264
1707879898745, 619916, -4352, 6096, 1296
1707879898755, 619927, -4368, 6064, 1296
1707879898767, 619938, -4384, 6032, 1344
1707879898779, 619949, -4368, 6000, 1344
1707879898789, 619960, -4432, 6016, 1264
1707879898799, 619971, -4400, 6096, 1328
1707879898811, 619982, -4400, 6064, 1328
1707879898821, 619993, -4448, 6064, 1264
1707879898833, 620004, -4432, 6112, 1264
1707879898843, 620015, -4352, 6112, 1312
1707879898855, 620026, -4256, 6208, 1312
1707879898865, 620037, -4336, 6144, 1232
1707879898877, 620048, -4480, 6144, 1248
1707879898887, 620059, -4480, 6176, 1200
1707879898899, 620070, -4416, 6256, 1184
1707879898909, 620081, -4352, 6160, 1024
1707879898921, 620092, -4272, 6256, 976
1707879898931, 620103, -4400, 6208, 896
1707879898943, 620114, -4480, 6336, 1088
1707879898953, 620125, -4480, 6368, 736
1707879898965, 620136, -4512, 6304, 640
1707879898975, 620147, -4400, 6192, 320
1707879898987, 620158, -4496, 6240, 464
1707879898997, 620169, -4688, 6480, 656
1707879899009, 620180, -4656, 6464, 816
1707879899019, 620191, -4752, 6352, 672
1707879899031, 620202, -4880, 6432, 880
1707879899041, 620213, -4896, 6480, 784
1707879899053, 620224, -5152, 6768, 1008
1707879899063, 620235, -5168, 6688, 1680
1707879899075, 620246, -5152, 6752, 2352
1707879899085, 620257, -5216, 6800, 2992
1707879899097, 620268, -5280, 6832, 4240
1707879899107, 620279, -5472, 6688, 5312
1707879899119, 620290, -5280, 6640, 6016
1707879899129, 620301, -5216, 6720, 6944
1707879899141, 620312, -5232, 6816, 7472
1707879899151, 620323, -5424, 6752, 7808
1707879899163, 620334, -5504, 6656, 8096
1707879899173, 620345, -5328, 6208, 8192
1707879899185, 620356, -5120, 5680, 8096
1707879899195, 620367, -4832, 4992, 8160
1707879899207, 620378, -4640, 4640, 7840
1707879899217, 620389, -4464, 4224, 7296
1707879899229, 620400, -4608, 3728, 6848
1707879899239, 620411, -3968, 3312, 6480
1707879899251, 620422, -3616, 2816, 5888
1707879899263, 620433, -3616, 2416, 5264
1707879899273, 620444, -3024, 2432, 4672
1707879899283, 620455, -2816, 2544, 3680
1707879899295, 620466, -2704, 3056, 3120
1707879899305, 620477, -2496, 3312, 2576
1707879899317, 620488, -2464, 3616, 1632
1707879899327, 620499, -2400, 3328, 1040
1707879899339, 620510, -2160, 3296, 512
1707879899349, 620521, -2064, 3392, 208
1707879899361, 620532, -1792, 3296, -16
1707879899371, 620543, -1552, 3328, -272
1707879899383, 620554, -1472, 3728, -944
1707879899395, 620565, -1584, 4064, -1584
1707879899405, 620576, -1696, 4304, -2032
1707879899417, 620587, -1632, 4608, -2160
1707879899427, 620598, -1744, 4448, -2416
1707879899439, 620609, -1472, 3792, -2592
1707879899449, 620620, -1296, 3232, -2464
1707879899459, 620631, -976, 3136, -2624
1707879899471, 620642, -1024, 3376, -2848
1707879899481, 620653, -832, 3728, -2880
1707879899493, 620664, -1152, 3472, -2736
1707879899503, 620675, -928, 2496, -2096
1707879899515, 620686, -896, 1936, -1968
