Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707879721934, 443102, -3472, 6400, -2560
1707879721945, 443113, -3488, 6320, -2464
1707879721956, 443124, -3440, 6272, -2432
1707879721967, 443135, -3360, 6288, -2624
1707879721978, 443146, -3424, 6256, -2704
1707879721989, 443157, -3328, 6320, -2656
1707879722000, 443168, -3408, 6384, -2576
1707879722011, 443179, -3232, 6288, -2544
1707879722022, 443190, -3392, 6336, -2496
1707879722033, 443201, -3360, 6368, -2448
1707879722044, 443212, -3408, 6352, -2544
1707879722055, 443223, -3344, 6368, -2496
1707879722066, 443234, -3392, 6352, -2464
1707879722077, 443245, -3408, 6432, -2496
1707879722088, 443256, -3344, 6320, -2480
1707879722099, 443267, -3392, 6320, -2432
1707879722110, 443278, -3408, 6336, -2624
1707879722121, 443289, -3360, 6368, -2560
1707879722132, 443300, -3232, 6384, -2544
1707879722143, 443311, -3408, 6352, -2496
1707879722154, 443322, -3376, 6416, -2448
1707879722165, 443333, -3248, 6304, -2560
1707879722176, 443344, -3344, 6256, -2544
1707879722187, 443355, -3312, 6336, -2880
1707879722198, 443366, -3376, 6368, -2592
1707879722209, 443377, -3424, 6352, -2496
1707879722220, 443388, -3344, 6336, -2640
1707879722231, 443399, -3264, 6336, -2656
1707879722242, 443410, -3296, 6240, -2608
1707879722253, 443421, -3408, 6336, -2624
1707879722264, 443432, -3280, 6416, -2512
1707879722275, 443443, -3344, 6464, -2592
1707879722286, 443454, -3328, 6512, -2512
1707879722297, 443465, -3376, 6560, -2624
1707879722308, 443476, -3360, 6592, -2576
1707879722319, 443487, -3504, 6576, -2528
1707879722330, 443498, -3328, 6496, -2640
1707879722341, 443509, -3312, 6512, -2720
1707879722352, 443520, -3408, 6480, -2880
1707879722363, 443531, -3312, 6512, -2768
1707879722374, 443542, -3312, 6432, -2464
1707879722385, 443553, -3344, 6480, -2672
1707879722396, 443564, -3312, 6496, -2768
1707879722407, 443575, -3200, 6448, -2640
1707879722418, 443586, -3264, 6464, -3136
1707879722429, 443597, -3216, 6416, -3504
1707879722440, 443608, -3152, 6592, -3504
1707879722451, 443619, -3280, 6784, -3008
1707879722462, 443630, -3200, 7056, -3360
1707879722473, 443641, -3120, 7296, -4272
1707879722484, 443652, -3072, 7344, -4944
1707879722495, 443663, -2864, 7456, -5056
1707879722506, 443674, -2928, 7856, -5072
1707879722517, 443685, -2576, 8256, -5696
1707879722528, 443696, -2704, 8816, -7360
1707879722539, 443707, -2704, 9264, -8400
1707879722550, 443718, -2352, 9088, -9488
1707879722561, 443729, -2112, 8464, -10240
1707879722572, 443740, -1952, 7792, -10352
1707879722583, 443751, -1376, 6624, -10800
1707879722594, 443762, -848, 5024, -10960
1707879722605, 443773, -512, 3728, -10128
1707879722616, 443784, -96, 3056, -9600
1707879722626, 443795, 0, 2912, -9136
1707879722636, 443806, 224, 2864, -8704
1707879722649, 443817, 416, 2800, -8160
1707879722660, 443828, 576, 2976, -7232
1707879722671, 443839, 848, 2896, -6320
1707879722682, 443850, 1056, 2736, -6112
1707879722693, 443861, 1008, 2288, -5488
1707879722704, 443872, 1008, 2048, -4448
1707879722715, 443883, 1216, 1792, -3792
1707879722726, 443894, 1296, 1872, -3840
1707879722737, 443905, 1616, 2192, -4016
1707879722748, 443916, 1696, 2512, -4288
1707879722759, 443927, 1632, 2432, -4144
1707879722770, 443938, 1744, 1952, -3216
1707879722781, 443949, 1904, 1232, -1328
1707879722792, 443960, 2224, 800, -224
1707879722803, 443971, 2352, 1312, 288
1707879722814, 443982, 2352, 2656, 784
1707879722825, 443993, 2240, 3888, 1280
1707879722836, 444004, 1952, 4624, 1952
1707879722847, 444015, 2208, 5136, 2592
1707879722858, 444026, 2320, 5136, 3344
1707879722869, 444037, 2464, 5136, 4400
1707879722880, 444048, 2528, 5328, 5968
