Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707879817952, 539121, -4944, 5408, 992
1707879817963, 539132, -4848, 5536, 928
1707879817974, 539143, -5008, 5648, 1008
1707879817985, 539154, -5072, 5696, 1056
1707879817996, 539165, -5216, 5840, 736
1707879818007, 539176, -5056, 5776, 912
1707879818018, 539187, -5056, 5616, 960
1707879818029, 539198, -5072, 5584, 1040
1707879818040, 539209, -5040, 5536, 1072
1707879818051, 539220, -5056, 5632, 1056
1707879818062, 539231, -5024, 5728, 928
1707879818073, 539242, -5168, 5776, 768
1707879818084, 539253, -5056, 5744, 880
1707879818096, 539264, -5072, 5632, 1088
1707879818104, 539275, -5104, 5568, 1072
1707879818117, 539286, -5040, 5632, 1200
1707879818128, 539297, -5104, 5584, 1088
1707879818139, 539308, -5040, 5568, 1168
1707879818150, 539319, -5136, 5568, 1024
1707879818161, 539330, -5072, 5712, 1024
1707879818172, 539341, -5072, 5824, 1088
1707879818183, 539352, -5088, 5776, 1200
1707879818194, 539363, -5072, 5712, 1024
1707879818205, 539374, -5168, 5728, 976
1707879818216, 539385, -5216, 5728, 1136
1707879818227, 539396, -5216, 5712, 992
1707879818238, 539407, -5200, 5600, 1104
1707879818249, 539418, -5104, 5552, 1136
1707879818260, 539429, -5264, 5504, 1120
1707879818271, 539440, -5360, 5536, 1136
1707879818282, 539451, -5488, 5552, 1184
1707879818293, 539462, -5680, 5600, 1232
1707879818304, 539473, -5728, 5504, 1440
1707879818315, 539484, -5760, 5536, 1280
1707879818326, 539495, -6272, 5520, 1104
1707879818337, 539506, -6560, 5232, 1344
1707879818348, 539517, -6800, 5024, 1808
1707879818359, 539528, -6816, 4832, 2480
1707879818370, 539539, -7008, 4624, 3552
1707879818381, 539550, -7040, 4784, 4368
1707879818392, 539561, -6992, 4960, 5120
1707879818403, 539572, -6816, 4960, 5600
1707879818414, 539583, -6368, 4656, 6304
1707879818425, 539594, -5872, 4208, 6624
1707879818436, 539605, -5760, 3632, 6656
1707879818447, 539616, -4512, 3072, 6608
1707879818458, 539627, -4000, 2176, 6704
