Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707879864975, 586146, -4416, 6000, 1040
1707879864987, 586157, -4400, 6096, 1088
1707879864997, 586168, -4448, 6176, 1056
1707879865009, 586179, -4496, 6256, 1168
1707879865019, 586190, -4544, 6288, 832
1707879865031, 586201, -4464, 6192, 1152
1707879865041, 586212, -4432, 6192, 1168
1707879865053, 586223, -4464, 6192, 1200
1707879865063, 586234, -4400, 6160, 1104
1707879865075, 586245, -4400, 6128, 1040
1707879865085, 586256, -4512, 6144, 1024
1707879865097, 586267, -4416, 6128, 1168
1707879865107, 586278, -4464, 6016, 1104
1707879865119, 586289, -4512, 6016, 960
1707879865129, 586300, -4368, 5984, 928
1707879865141, 586311, -4384, 5968, 1152
1707879865151, 586322, -4368, 5936, 1136
1707879865163, 586333, -4480, 6048, 1104
1707879865173, 586344, -4464, 6240, 1024
1707879865185, 586355, -4544, 6368, 1104
1707879865195, 586366, -4480, 6464, 1072
1707879865207, 586377, -4480, 6496, 1056
1707879865217, 586388, -4496, 6416, 1072
1707879865229, 586399, -4432, 6240, 1040
1707879865239, 586410, -4464, 6256, 1152
1707879865251, 586421, -4416, 6112, 992
1707879865261, 586432, -4368, 5984, 1024
1707879865273, 586443, -4304, 5984, 960
1707879865283, 586454, -4336, 5856, 800
1707879865295, 586465, -4320, 5904, 800
1707879865305, 586476, -4384, 6016, 928
1707879865317, 586487, -4352, 6016, 976
1707879865327, 586498, -4272, 6000, 1008
1707879865339, 586509, -4256, 6032, 944
1707879865349, 586520, -4256, 6064, 896
1707879865361, 586531, -4160, 6032, 688
1707879865371, 586542, -4032, 6096, 640
1707879865383, 586553, -3968, 6128, 496
1707879865393, 586564, -3584, 6304, 512
1707879865405, 586575, -3296, 6400, -320
1707879865415, 586586, -3248, 6976, -560
1707879865427, 586597, -3104, 7152, -1456
1707879865437, 586608, -2960, 7872, -2816
1707879865449, 586619, -3024, 8464, -3440
1707879865459, 586630, -3184, 8320, -2944
1707879865471, 586641, -2496, 7888, -2816
1707879865481, 586652, -2288, 7936, -2832
1707879865493, 586663, -2208, 7936, -3648
1707879865503, 586674, -2064, 7968, -4496
1707879865515, 586685, -1968, 8128, -5008
1707879865525, 586696, -1984, 8224, -5632
1707879865537, 586707, -1792, 8304, -5552
1707879865547, 586718, -1936, 8672, -5088
1707879865559, 586729, -1904, 8608, -4848
1707879865569, 586740, -1936, 8688, -4464
1707879865581, 586751, -1776, 8608, -4256
1707879865591, 586762, -1792, 8752, -4032
1707879865603, 586773, -1728, 8864, -3920
1707879865613, 586784, -1680, 9088, -3696
1707879865625, 586795, -1552, 9232, -3408
1707879865635, 586806, -1488, 9232, -3216
1707879865647, 586817, -1328, 9696, -2432
1707879865659, 586828, -1520, 9760, -1536
1707879865669, 586839, -1296, 9568, -528
1707879865679, 586850, -1168, 9248, 272
1707879865692, 586861, -992, 9104, 784
1707879865702, 586872, -1088, 9072, 1152
1707879865712, 586883, -1136, 8960, 1728
1707879865724, 586894, -848, 8560, 2000
1707879865734, 586905, -576, 7888, 2512
1707879865746, 586916, -224, 7232, 3120
1707879865756, 586927, 80, 6544, 4224
1707879865769, 586938, 512, 5696, 5600
1707879865780, 586949, 656, 4864, 6928
1707879865791, 586960, 176, 4640, 8720
1707879865801, 586971, -256, 4256, 10832
1707879865811, 586982, -1184, 3968, 12960
1707879865823, 586993, -1696, 2992, 14672
1707879865833, 587004, -1968, 816, 16160
1707879865845, 587015, -2352, -960, 16928
1707879865857, 587026, -2480, -2432, 16880
1707879865867, 587037, -2560, -2736, 16192
1707879865879, 587048, -2976, -2688, 14544
1707879865889, 587059, -2976, -2080, 12560
1707879865899, 587070, -3072, -1584, 11424
1707879865911, 587081, -2448, -1216, 9984
1707879865921, 587092, -2128, -1072, 8528
1707879865933, 587103, -1776, -1104, 8368
1707879865943, 587114, -1616, -1248, 8752
1707879865955, 587125, -1536, -1424, 9072
1707879865965, 587136, -1216, -1664, 9040
1707879865977, 587147, -608, -2320, 9200
1707879865987, 587158, -624, -2880, 9280
1707879865999, 587169, 448, -2816, 9184
1707879866009, 587180, 752, -2400, 8704
1707879866021, 587191, 768, -1552, 8448
1707879866031, 587202, 1344, -448, 8208
1707879866043, 587213, 1376, 1296, 7296
1707879866053, 587224, 1296, 3728, 6560
1707879866065, 587235, 1184, 5200, 5840
1707879866075, 587246, 1024, 5888, 4976
1707879866087, 587257, 1136, 5248, 4464
1707879866097, 587268, 1584, 4288, 4528
1707879866109, 587279, 1952, 4016, 4608
1707879866119, 587290, 2320, 4544, 4992
1707879866131, 587301, 2544, 6000, 4592
1707879866141, 587312, 2224, 8176, 3664
1707879866153, 587323, 1936, 9312, 2880
1707879866163, 587334, 2000, 9632, 2336
1707879866175, 587345, 2224, 8832, 2256
1707879866185, 587356, 2944, 8416, 2912
1707879866197, 587367, 3280, 8896, 3136
1707879866207, 587378, 3280, 10288, 1584
1707879866219, 587389, 3120, 11280, 336
1707879866229, 587400, 2960, 11760, -688
1707879866241, 587411, 3056, 11440, -1024
1707879866251, 587422, 3344, 10736, -432
1707879866263, 587433, 3600, 10992, -576
1707879866273, 587444, 3616, 12112, -1360
1707879866285, 587455, 3648, 13216, -1968
1707879866295, 587466, 3616, 14256, -3168
1707879866307, 587477, 3536, 14704, -3840
1707879866317, 587488, 3760, 14960, -4368
1707879866329, 587499, 4272, 15648, -5200
1707879866339, 587510, 3920, 16352, -5856
1707879866351, 587521, 4272, 16400, -5776
1707879866361, 587532, 4256, 16624, -5856
1707879866373, 587543, 4160, 16496, -5728
1707879866383, 587554, 4112, 16352, -5424
1707879866395, 587565, 4096, 15824, -5536
1707879866405, 587576, 4096, 15216, -5520
1707879866417, 587587, 4144, 14496, -6160
1707879866427, 587598, 4208, 14288, -6544
1707879866439, 587609, 4208, 14240, -7120
1707879866449, 587620, 4208, 14032, -7200
1707879866461, 587631, 4288, 13600, -7360
1707879866471, 587642, 4368, 12928, -7152
1707879866483, 587653, 4640, 12176, -6784
1707879866493, 587664, 4832, 11536, -6256
1707879866505, 587675, 5024, 10576, -5680
1707879866515, 587686, 5408, 9328, -5232
1707879866527, 587697, 5552, 8560, -4688
1707879866537, 587708, 5776, 8192, -4336
1707879866549, 587719, 5904, 7760, -3808
1707879866559, 587730, 5872, 7536, -3072
1707879866571, 587741, 6064, 7184, -2096
1707879866581, 587752, 6016, 6800, -1728
1707879866593, 587763, 6336, 6768, -1504
1707879866603, 587774, 6304, 6560, -992
1707879866615, 587785, 6320, 6288, -1040
1707879866625, 587796, 6320, 6448, -800
1707879866637, 587807, 6320, 7504, -1248
1707879866647, 587818, 6272, 8256, -1472
1707879866659, 587829, 6496, 8976, -2000
1707879866669, 587840, 7056, 10304, -3264
