Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707879937027, 658196, -6512, 192, 4192
1707879937037, 658207, -6496, 16, 4288
1707879937047, 658218, -6512, 32, 4288
1707879937059, 658229, -6576, 304, 4096
1707879937071, 658240, -6576, 640, 3952
1707879937081, 658251, -6496, 976, 3888
1707879937093, 658262, -6560, 1200, 3760
1707879937103, 658273, -6528, 1344, 3648
1707879937115, 658284, -6528, 1328, 3568
1707879937125, 658295, -6608, 1360, 3520
1707879937137, 658306, -6528, 1360, 3712
1707879937147, 658317, -6512, 1280, 3680
1707879937159, 658328, -6608, 1280, 3824
1707879937169, 658339, -6448, 1280, 3744
1707879937181, 658350, -6448, 1424, 3680
1707879937191, 658361, -6528, 1440, 3632
1707879937203, 658372, -6496, 1424, 3600
1707879937213, 658383, -6576, 1248, 3776
1707879937225, 658394, -6528, 1136, 3968
1707879937235, 658405, -6608, 992, 4112
1707879937245, 658416, -6608, 960, 4112
1707879937257, 658427, -6560, 800, 4144
1707879937267, 658438, -6512, 608, 4080
1707879937279, 658449, -6528, 496, 3968
1707879937289, 658460, -6512, 592, 4032
1707879937301, 658471, -6544, 752, 4000
1707879937313, 658482, -6624, 1120, 4048
1707879937323, 658493, -6688, 1664, 4144
1707879937335, 658504, -6912, 2400, 4384
1707879937345, 658515, -7024, 3568, 4752
1707879937357, 658526, -7776, 5392, 4640
1707879937367, 658537, -8112, 8096, 4320
1707879937379, 658548, -8384, 9792, 3120
1707879937389, 658559, -8224, 10496, 1760
1707879937401, 658570, -7744, 9760, 400
1707879937411, 658581, -6832, 7872, 80
1707879937423, 658592, -5584, 4944, 528
1707879937433, 658603, -4352, -992, 1888
1707879937446, 658614, -2848, -7648, 4208
1707879937457, 658625, -1232, -16560, 6480
1707879937468, 658636, -1136, -26992, 8832
1707879937478, 658647, 528, -31120, 8960
1707879937488, 658658, 640, -29456, 8272
1707879937500, 658669, 576, -21952, 7888
1707879937510, 658680, 64, -14128, 7760
1707879937522, 658691, -800, -3984, 8480
1707879937532, 658702, -1008, 3552, 8528
1707879937545, 658713, -3600, 10400, 8096
1707879937556, 658724, -5696, 20096, 5232
1707879937567, 658735, -7520, 25632, 1872
1707879937578, 658746, -8256, 28944, -688
1707879937589, 658757, -8528, 30208, -2880
1707879937600, 658768, -8608, 30352, -3664
1707879937611, 658779, -8288, 29648, -3360
1707879937622, 658790, -7120, 26208, -2224
1707879937633, 658801, -5376, 21360, -1072
1707879937643, 658812, -3600, 15024, 928
1707879937653, 658823, -2976, 6624, 5360
1707879937663, 658834, -864, -224, 9312
1707879937675, 658845, 208, -7776, 11120
1707879937688, 658856, 576, -20896, 11408
1707879937699, 658867, 3008, -30800, 10944
1707879937710, 658878, 3088, -32576, 8720
1707879937721, 658889, 2960, -32624, 6160
1707879937732, 658900, 2256, -32064, 4320
1707879937743, 658911, 2192, -25616, 4208
1707879937754, 658922, 1792, -18960, 4608
1707879937765, 658933, 928, -11984, 6000
1707879937775, 658944, -352, -4384, 7632
1707879937785, 658955, -1344, 960, 8064
1707879937797, 658966, -2640, 7328, 8272
1707879937807, 658977, -4832, 16512, 7888
1707879937820, 658988, -7072, 23200, 6080
1707879937831, 658999, -8704, 28064, 2880
1707879937842, 659010, -8992, 31280, -688
1707879937853, 659021, -9984, 31360, -2656
1707879937863, 659032, -9616, 29808, -3552
1707879937873, 659043, -9456, 25888, -2576
1707879937886, 659054, -6416, 20816, -1520
1707879937896, 659065, -4224, 12720, 656
1707879937906, 659076, -3712, 5232, 3728
1707879937918, 659087, -656, -2672, 6800
1707879937928, 659098, -208, -11152, 9248
1707879937940, 659109, 304, -19344, 9552
1707879937950, 659120, 1024, -26800, 8960
1707879937963, 659131, 1120, -30816, 7584
1707879937973, 659142, 896, -30320, 6720
1707879937983, 659153, 608, -26832, 6672
1707879937995, 659164, 304, -20560, 6496
1707879938005, 659175, -176, -14176, 7264
1707879938017, 659186, -880, -7808, 8240
1707879938027, 659197, -1040, -416, 7968
1707879938039, 659208, -2896, 5776, 7504
1707879938049, 659219, -4608, 13696, 6096
1707879938062, 659230, -5264, 22400, 3840
1707879938072, 659241, -8656, 26736, 752
1707879938082, 659252, -9360, 28048, -1968
1707879938095, 659263, -9440, 27200, -3456
1707879938106, 659274, -9152, 25552, -3152
1707879938116, 659285, -8112, 22112, -2320
1707879938126, 659296, -6672, 18048, -976
1707879938138, 659307, -4880, 12432, 656
1707879938148, 659318, -2720, 3840, 3840
1707879938161, 659329, -1520, -3168, 6848
1707879938172, 659340, -832, -10480, 8800
1707879938182, 659351, 128, -20736, 9168
1707879938192, 659362, 560, -26944, 8432
1707879938204, 659373, 416, -29216, 7888
1707879938214, 659384, 352, -27632, 7360
1707879938227, 659395, -176, -23936, 6800
1707879938238, 659406, -160, -19200, 6608
1707879938249, 659417, -320, -12272, 6688
1707879938260, 659428, -1424, -6320, 7504
1707879938268, 659439, -2224, -32, 7296
1707879938280, 659450, -2400, 5712, 6672
1707879938293, 659461, -5104, 12464, 5728
1707879938304, 659472, -7328, 20400, 3072
1707879938314, 659483, -8720, 24768, 640
1707879938324, 659494, -9376, 27072, -1696
1707879938337, 659505, -9488, 27216, -2896
1707879938347, 659516, -9056, 25840, -2784
1707879938357, 659527, -8128, 23120, -1760
1707879938369, 659538, -7712, 18032, -80
1707879938379, 659549, -4800, 12848, 1584
1707879938391, 659560, -3296, 6848, 3984
1707879938401, 659571, -2928, -1248, 7168
1707879938414, 659582, -1280, -7008, 8928
1707879938424, 659593, -848, -12736, 9280
1707879938434, 659604, -672, -20880, 8192
1707879938446, 659615, -80, -25264, 7232
1707879938456, 659626, -416, -26688, 7312
1707879938469, 659637, -464, -25904, 7376
1707879938479, 659648, -96, -24704, 6832
1707879938489, 659659, 400, -20752, 6752
1707879938501, 659670, 128, -15056, 6944
1707879938511, 659681, -336, -8656, 7472
1707879938523, 659692, -1408, -672, 7632
1707879938533, 659703, -2640, 6448, 7632
1707879938546, 659714, -4800, 14992, 6736
1707879938557, 659725, -5360, 24400, 4048
1707879938568, 659736, -8800, 29104, 1120
1707879938578, 659747, -9744, 30672, -1808
1707879938588, 659758, -9696, 30160, -3568
1707879938601, 659769, -9296, 28576, -3104
1707879938612, 659780, -8080, 25488, -1840
1707879938623, 659791, -7600, 18944, -848
1707879938634, 659802, -3120, 12176, 1104
1707879938644, 659813, -1504, 3824, 4096
1707879938654, 659824, 16, -3344, 6720
1707879938666, 659835, 912, -10880, 8256
1707879938676, 659846, 1648, -20864, 8096
1707879938689, 659857, 1936, -27712, 7584
1707879938700, 659868, 1824, -31840, 6816
1707879938711, 659879, 1632, -31712, 5840
1707879938722, 659890, 1488, -28288, 5824
1707879938733, 659901, 1264, -23168, 6544
1707879938743, 659912, 992, -15696, 8160
1707879938753, 659923, 224, -10288, 9312
1707879938765, 659934, -352, -5360, 9504
1707879938775, 659945, -432, 1184, 9136
1707879938787, 659956, -2416, 8016, 8928
1707879938797, 659967, -4272, 16608, 7536
1707879938810, 659978, -4848, 25552, 4832
1707879938820, 659989, -8848, 29568, 960
1707879938830, 660000, -9504, 32048, -2560
1707879938843, 660011, -9584, 31216, -3968
1707879938854, 660022, -9136, 29200, -3872
1707879938864, 660033, -7696, 24800, -2576
1707879938874, 660044, -5760, 19376, -1232
1707879938886, 660055, -3776, 13120, 640
1707879938896, 660066, -1696, 4704, 3472
1707879938908, 660077, -688, -1808, 6656
1707879938918, 660088, -256, -8336, 9328
1707879938931, 660099, -144, -17216, 10240
1707879938941, 660110, 816, -24080, 9312
1707879938951, 660121, 800, -27824, 7408
1707879938963, 660132, 864, -28224, 5344
1707879938973, 660143, 160, -25776, 4864
1707879938986, 660154, -112, -21808, 6288
1707879938997, 660165, -224, -16480, 7344
1707879939008, 660176, -848, -12624, 8208
1707879939019, 660187, -1280, -7936, 8448
1707879939030, 660198, -1808, -3776, 8400
1707879939040, 660209, -2400, 864, 8144
1707879939050, 660220, -3648, 9088, 7984
1707879939063, 660231, -5552, 16448, 6512
1707879939074, 660242, -7408, 22864, 4160
1707879939084, 660253, -8976, 27632, 368
1707879939094, 660264, -9488, 28288, -1808
1707879939107, 660275, -9360, 27248, -2832
1707879939118, 660286, -9280, 24512, -2240
1707879939128, 660297, -7616, 21008, -1280
1707879939138, 660308, -6128, 16448, -112
1707879939150, 660319, -5600, 9376, 2288
1707879939160, 660330, -3088, 3504, 4208
1707879939173, 660341, -2368, -1776, 6784
1707879939184, 660352, -2336, -8544, 8528
1707879939195, 660363, -1136, -15248, 10048
1707879939206, 660374, -672, -22096, 9376
1707879939217, 660385, -608, -25136, 8464
1707879939228, 660396, -512, -25552, 7712
1707879939239, 660407, -528, -23264, 6656
1707879939250, 660418, -288, -20496, 6256
1707879939260, 660429, -96, -16976, 6064
1707879939270, 660440, -320, -11376, 6032
1707879939282, 660451, -816, -6304, 6016
1707879939292, 660462, -1792, -688, 6288
1707879939304, 660473, -1888, 7520, 6464
1707879939314, 660484, -5328, 14608, 6224
1707879939327, 660495, -7344, 20896, 4496
1707879939338, 660506, -7856, 25712, 1840
1707879939348, 660517, -9520, 27232, -96
1707879939358, 660528, -9632, 26672, -1632
1707879939370, 660539, -9600, 24720, -1920
1707879939380, 660550, -8096, 21840, -1280
1707879939392, 660561, -6688, 16352, 240
1707879939402, 660572, -6144, 10864, 2464
1707879939414, 660583, -3344, 5104, 4864
1707879939424, 660594, -1920, -2720, 7408
1707879939436, 660605, -784, -9584, 8080
1707879939446, 660616, 256, -17264, 8064
1707879939458, 660627, 992, -25648, 7472
1707879939468, 660638, 1104, -29488, 6608
1707879939480, 660649, 976, -29936, 6400
1707879939490, 660660, 1136, -27200, 6192
1707879939503, 660671, 1024, -22720, 6432
1707879939513, 660682, 672, -17104, 7184
1707879939523, 660693, 560, -10240, 7536
1707879939535, 660704, -256, -5296, 7232
1707879939545, 660715, -1088, -656, 7168
1707879939557, 660726, -1200, 5584, 7136
1707879939567, 660737, -4032, 11200, 6912
1707879939580, 660748, -5968, 19008, 5968
1707879939591, 660759, -6576, 23744, 4688
1707879939602, 660770, -9552, 26688, 2560
1707879939612, 660781, -9968, 27216, 64
1707879939622, 660792, -9696, 25792, -1152
1707879939635, 660803, -9120, 23696, -1216
1707879939645, 660814, -7936, 20112, -32
1707879939655, 660825, -6592, 16256, 1392
1707879939668, 660836, -5152, 11760, 2848
1707879939678, 660847, -3744, 5632, 4352
1707879939688, 660858, -2848, 768, 5248
1707879939701, 660869, -1984, -4272, 6496
1707879939712, 660880, -1808, -10256, 8256
1707879939723, 660891, -864, -15056, 9120
1707879939734, 660902, -576, -19104, 9120
1707879939745, 660913, -736, -22400, 8160
1707879939756, 660924, -384, -23616, 7136
1707879939767, 660935, -192, -23984, 6208
1707879939778, 660946, -144, -23184, 5584
1707879939788, 660957, 624, -21264, 5264
1707879939798, 660968, 784, -16384, 5216
1707879939810, 660979, 256, -10528, 5728
1707879939820, 660990, -880, -3888, 6640
1707879939830, 661001, -2656, 4672, 7408
1707879939842, 661012, -4592, 12080, 6992
1707879939855, 661023, -7008, 18800, 5952
1707879939866, 661034, -9104, 25936, 3376
1707879939876, 661045, -10240, 28864, 1008
1707879939886, 661056, -10640, 29536, -800
1707879939899, 661067, -10672, 27600, -2160
1707879939909, 661078, -8800, 24704, -2560
1707879939919, 661089, -7264, 21008, -1744
1707879939931, 661100, -6944, 14208, 432
1707879939941, 661111, -3248, 7712, 3056
1707879939953, 661122, -2192, -16, 5696
1707879939963, 661133, -2112, -4960, 7408
1707879939976, 661144, -1312, -9120, 8256
1707879939987, 661155, -1264, -13264, 8448
1707879939998, 661166, -1264, -16528, 8336
1707879940009, 661177, -1120, -19424, 7840
