Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707879657011, 378180, 7872, 2576, -96
1707879657021, 378191, 7840, 2528, -64
1707879657033, 378202, 7968, 2768, -192
1707879657045, 378213, 7888, 2800, -304
1707879657055, 378224, 7888, 2800, -336
1707879657067, 378235, 7984, 2800, -256
1707879657077, 378246, 7936, 2704, -224
1707879657087, 378257, 8000, 2640, -656
1707879657099, 378268, 7984, 2688, -400
1707879657111, 378279, 7888, 2816, -320
1707879657121, 378290, 7888, 2736, -432
1707879657131, 378301, 7984, 2704, -288
1707879657143, 378312, 7936, 2800, -384
1707879657153, 378323, 7904, 3008, -448
1707879657165, 378334, 8016, 2992, -592
1707879657175, 378345, 7856, 3072, -400
1707879657187, 378356, 7760, 3136, -272
1707879657199, 378367, 7760, 3072, -144
1707879657209, 378378, 7840, 2944, -192
1707879657219, 378389, 7728, 2848, -288
1707879657231, 378400, 8016, 2784, -352
1707879657241, 378411, 8032, 2864, -336
1707879657253, 378422, 7968, 3056, -32
1707879657263, 378433, 7904, 3168, 64
1707879657275, 378444, 7920, 3216, 0
1707879657287, 378455, 7904, 3184, -208
1707879657297, 378466, 8144, 3184, -208
1707879657307, 378477, 8272, 3248, -144
1707879657319, 378488, 8480, 3312, -176
1707879657331, 378499, 8576, 3440, -240
1707879657341, 378510, 8720, 3680, 64
1707879657351, 378521, 8768, 3680, 32
1707879657363, 378532, 8816, 3568, -112
1707879657373, 378543, 9008, 3248, -528
1707879657385, 378554, 9136, 3072, -1216
1707879657397, 378565, 9136, 2848, -2064
1707879657407, 378576, 9152, 2944, -2960
1707879657419, 378587, 8832, 3248, -3408
1707879657429, 378598, 8560, 3744, -3632
1707879657441, 378609, 8432, 4272, -3776
1707879657451, 378620, 7696, 4736, -3712
1707879657463, 378631, 7248, 5024, -3552
1707879657473, 378642, 7136, 4784, -3600
1707879657485, 378653, 6416, 4608, -3376
1707879657495, 378664, 5792, 4432, -3200
1707879657507, 378675, 5168, 4544, -2880
1707879657517, 378686, 4608, 4512, -2432
1707879657529, 378697, 3616, 4672, -672
1707879657539, 378708, 2784, 4176, 1760
1707879657549, 378719, 1888, 3632, 5152
1707879657561, 378730, 880, 1856, 8896
1707879657573, 378741, 368, -224, 11856
1707879657583, 378752, 80, -2432, 14080
1707879657595, 378763, -80, -4608, 16912
1707879657605, 378774, -448, -5696, 19472
1707879657618, 378785, -288, -6192, 21712
1707879657629, 378796, -224, -6128, 23024
1707879657640, 378807, 1200, -6224, 23968
1707879657651, 378818, 2928, -6608, 25664
1707879657662, 378829, 3552, -5616, 27264
1707879657673, 378840, 8576, -4368, 27936
1707879657683, 378851, 11776, -3040, 27664
1707879657693, 378862, 14736, -2320, 26496
1707879657706, 378873, 18224, -2160, 25312
1707879657717, 378884, 23008, -1424, 24992
1707879657727, 378895, 25808, -16, 25232
1707879657737, 378906, 27952, 1872, 25744
1707879657750, 378917, 30592, 3104, 27056
1707879657760, 378928, 32432, 3280, 28336
1707879657770, 378939, 32640, 3600, 29296
1707879657783, 378950, 32640, 5056, 29312
1707879657794, 378961, 32640, 6960, 28608
1707879657805, 378972, 32640, 9568, 31728
1707879657816, 378983, 32640, 11696, 32592
1707879657827, 378994, 32640, 11952, 32640
1707879657838, 379005, 32640, 9984, 32640
1707879657849, 379016, 32640, 9296, 32640
1707879657860, 379027, 31200, 8400, 30272
1707879657871, 379038, 28288, 6976, 25984
1707879657882, 379049, 25360, 5408, 23600
1707879657893, 379060, 22464, 3728, 22016
1707879657904, 379071, 19328, 2576, 20528
1707879657915, 379082, 17120, 1984, 19296
1707879657926, 379093, 14624, 2288, 17728
1707879657937, 379104, 11328, 3456, 16992
1707879657947, 379115, 8848, 4080, 16528
1707879657957, 379126, 7280, 3328, 16016
1707879657969, 379137, 7040, 944, 15232
1707879657979, 379148, 5136, -624, 12928
1707879657992, 379159, 4640, -1616, 10304
1707879658002, 379170, 4352, -544, 9280
1707879658012, 379181, 2000, 944, 7872
1707879658024, 379192, 1008, 1840, 5488
1707879658034, 379203, 784, 1360, 4336
1707879658046, 379214, 2432, -128, 3424
1707879658056, 379225, 2816, -704, 2544
1707879658068, 379236, 3088, -816, 1776
1707879658078, 379247, 3456, -1152, 480
1707879658090, 379258, 3904, -1456, -1152
1707879658100, 379269, 4176, -1552, -2032
1707879658113, 379280, 4320, -1520, -2656
1707879658124, 379291, 7648, -1216, -3648
1707879658134, 379302, 2464, 544, -8048
1707879658144, 379313, 3088, 2624, -9312
1707879658156, 379324, 2912, 3584, -9168
1707879658166, 379335, 2768, 3584, -7968
1707879658178, 379346, 3296, 2544, -3968
1707879658188, 379357, 3360, 976, -496
1707879658198, 379368, 3856, 544, 1504
1707879658210, 379379, 4016, 544, 416
1707879658220, 379390, 4016, 352, -3200
1707879658232, 379401, 4464, 416, -7456
1707879658245, 379412, 4144, 1440, -10928
1707879658256, 379423, 3376, 2912, -12064
1707879658267, 379434, 2384, 4704, -12208
1707879658278, 379445, 1232, 6096, -11968
1707879658288, 379456, 720, 5856, -10880
1707879658298, 379467, 288, 5152, -9088
1707879658310, 379478, -240, 4272, -7392
1707879658320, 379489, -576, 3424, -6416
